
line 1  str / umem
     -51.7  invaded first lines i arts
     -51.8  i added first line sir as to
     -51.9  invaded first line is arts
     -51.9  i added first lines imparts
     -52.0  invaded first line stairs to
     -52.1  i added first line sirs at
     -52.3  i added first line stairs the
     -52.3  i added first lines airs to
     -52.5  i added first lines irs at

line 17  qft / ui
     -23.1  quaff it
     -23.8  quite fit
     -24.1  quite felt
     -24.1  qui fit
     -24.1  que fit
     -24.2  quite fat
     -24.4  qui felt
     -24.6  qui fat
     -24.6  quit fit
     -24.9  quit felt
     -25.1  quit fat
     -25.1  quite fact
     -25.3  quite of to
     -25.3  quite feet
     -25.3  quiet fit

line 18  cagap / ndted
     -27.3  change adopted
     -27.5  change adapted
     -29.2  indicated gap
     -30.0  can go adopted
     -30.2  can go adapted
     -30.3  and cat gaped
     -30.4  changed adopted
     -30.5  caring adopted
     -30.6  changed adapted
     -30.7  changed tapped
     -30.7  calling adopted
     -30.7  caring adapted
     -30.9  calling adapted
     -31.6  changes adopted
     -31.6  changed accepted

line 19  balmnopsemsov / iolapstedttoc
     -78.1  i boylan lamps not pleased must to voice
     -78.5  i boylan lamps not pleased most to voice
     -79.0  i boylan lamps not pressed must to voice
     -79.5  i boylan lamps not pressed most to voice
     -80.0  basil of lamps not pleased must to voice
     -80.3  i bold a lamps not pleased must to voice
     -80.4  i boylan lamps not exposed must to voice
     -80.4  i of ball man opposite seemed stout voice
     -80.4  i of ball man postponed stems to voice
     -80.4  basil of lamps not pleased most to voice
     -80.5  in boylan lamps not pleased must to voice
     -80.6  i of ball maps not pleased must to voice
     -80.6  i boylan lamps not pleased must out voice
     -80.7  basil monopoly seams posted that voice
     -80.7  into ball man opposite seemed stout voice

line 21  hodsam / yxn
     -36.5  hold say mixing
     -37.5  holy dixon same
     -38.0  holidays examine
     -38.3  howdy saxon my
     -38.3  holy dixons am
     -38.5  howdy saxon me
     -38.6  how days examine
     -38.7  howdy saxon mr
     -39.0  hold say examine
     -39.2  hold say manxman
     -39.3  hold says mixing
     -39.7  hold say mix in
     -39.8  hoped say mixing
     -40.0  holidays examined
     -40.2  ho days examine

line 24  tolshr / dily
     -26.5  told is hardly
     -27.2  told silly her
     -27.4  told i shortly
     -28.3  told i sharply
     -29.0  told simply her
     -29.9  told in shortly
     -30.0  told easily her
     -30.0  told sir hardly
     -30.1  told it shortly
     -30.1  told is harley
     -30.3  to ladies hardly
     -30.5  told its hardly
     -30.6  told silky her
     -30.7  told said hardly
     -30.8  told in sharply

line 25  itedjolec / atdwtsurs
     -56.9  instead jolted wits course
     -57.3  instead jolted wants course
     -57.5  waited jolted wits course
     -57.7  instead jolted wits curse
     -57.8  instead jolted wits curls
     -57.9  it at edward jolt secures
     -57.9  at it edward jolt secures
     -57.9  waited jolted wants course
     -58.0  instead jolted wants curse
     -58.1  instead jolted wants curls
     -58.3  waited jolted wits curse
     -58.3  i that edward jolt secures
     -58.4  waited jolted wits curls
     -58.5  admitted down jolt secures
     -58.6  waited jolted wants curse

line 26  mistrl / oatvpu
     -42.2  moist relative put
     -43.1  miss to relative put
     -46.1  moist at over pull
     -46.1  moat visit purple
     -46.1  moist relatives put
     -46.4  moist at ever pull
     -46.6  miss throat love put
     -46.7  mist to relative put
     -46.7  moist at rival put
     -46.7  moat visitor pull
     -46.8  moist art love put
     -47.0  moist at rev pull
     -47.0  miss to at over pull
     -47.0  moat visit republic
     -47.0  miss to relatives put

line 27  ding / y
     -10.1  dying
     -11.8  dingy
     -14.4  drying
     -16.0  denying
     -17.3  defying
     -19.0  eddying
     -19.5  decaying
     -20.5  daringly
     -21.3  studying
     -21.3  edifying
     -21.4  yielding
     -21.4  my doing
     -21.4  doing my
     -21.6  dying go
     -21.7  doing by

line 28  declon / arati
     -10.7  declaration
     -14.9  declarations
     -17.6  a declaration
     -17.7  declaration i
     -20.2  declaration in
     -20.4  declaration it
     -20.9  as declaration
     -21.1  declaration no
     -21.1  declaration is
     -21.2  at declaration
     -21.5  declaration on
     -21.8  declaration if
     -21.8  a declarations
     -21.8  and declaration
     -21.9  declarations i

line 29  ereflodbr / rileohmae
     -55.3  retire followed both mare
     -55.8  require followed both mare
     -55.9  retire followed oh embrace
     -56.1  terrible flowed both mare
     -56.2  retire followed both manner
     -56.3  retired followed both mare
     -56.5  require followed oh embrace
     -56.6  retire followed both matter
     -56.7  terrible flowed oh embrace
     -56.8  terrible falsehood him bare
     -56.8  require followed both manner
     -56.9  retire followed both master
     -56.9  retired followed oh embrace
     -57.0  terrible flowed both manner
     -57.1  require followed both matter
