index	cipher_group	proposed_plaintext_unit
1	266	deministervan
2	376	pruissen
3	221	heeft
4	564	voor
5	464	eenige
6	689	dagen
7	683	demarche
8	395	s
9	23	gedaan
10	441	om
11	659	dithof
12	287	te
13	381	en
14	153	ga
15	39	g
16	211	eeren
17	575	van
18	137	zig
19	49	deconcert
20	491	met
21	492	hethofvan
22	358	ber
23	483	lij
24	290	n
25	429	en
26	32	l
27	476	on
28	497	den
29	491	ten
30	441	f
31	895	a
32	596	veu
33	489	r
34	21	vanden
35	70	heer
36	766	erf
37	487	stadhouder
38	366	in
39	368	den
40	92	u
41	446	plaats
42	419	hebbende
43	234	verschil
44	899	l
45	87	en
46	655	in
47	79	derepublicq
48	404	te
49	394	i
50	435	m
51	2	mis
52	223	c
53	765	eeren
54	159	en
55	480	mij
56	222	is
57	798	ge
58	759	zegd
59	200	dat
60	462	het
61	897	antwoord
62	429	geweestis
63	239	dat
64	497	men
65	311	niet
66	281	al
67	98	te
68	239	vre
69	498	e
70	931	de
71	506	was
72	499	over
73	183	derepublicq
74	887	die
75	949	w
76	394	e
77	545	in
78	789	i
79	680	g
80	685	ge
81	439	vol
82	382	g
83	757	d
84	446	hadde
85	410	goede
86	580	raad
87	108	in
88	285	andere
89	457	ge
90	276	vallen
91	480	aanhaar
92	239	ge
93	498	geven
94	290	endat
95	252	men
96	688	z
97	931	i
98	809	c
99	740	h
100	210	dus
101	16	lie
102	345	ver
103	101	hier
104	290	niet
105	289	kon
106	949	in
107	335	la
108	710	ten
109	691	maar
110	470	dezelve
111	396	aan
112	598	z
113	654	i
114	175	c
115	446	h
116	97	zelf
117	447	over
118	299	lie
119	20	t
120	177	ik
121	484	meene
122	595	c
123	696	h
124	317	ter
125	41	ge
126	575	inform
127	484	eerd
128	149	te
129	476	zijn
130	247	dat
131	554	er
132	883	nieuw
133	723	e
134	697	in
135	436	s
136	506	tant
137	727	i
138	96	en
139	38	gedaan
140	423	zijn
141	405	doch
142	420	met
143	410	welk
144	438	effect
145	149	weet
146	384	ik
147	53	niet
148	632	ik
149	545	zal
150	697	dit
151	122	nader
152	893	onderzoek
153	381	en
154	790	doch
155	424	uiteen
156	96	e
157	410	conferentie
158	296	die
159	415	ik
160	685	met
161	686	den
162	91	graaf
163	397	o
164	211	s
165	618	ter
166	465	man
167	488	voor
168	460	z
169	430	es
170	435	wek
171	239	en
172	380	gehad
173	668	heb
174	441	zoude
175	395	ik
176	86	moeten
177	189	besluit
178	280	endat
179	84	zulks
180	482	hier
181	566	vande
182	564	hand
183	277	ge
184	74	wezen
185	1000	zal
186	790	worden
