normalized_group	plaintext	source_group_indices
1000	zal	185
101	hier	103
108	in	87
122	nader	151
137	zig	18
153	ga	14
159	en	54
16	lie	101
175	c	114
177	ik	120
183	derepublicq	73
189	besluit	177
2	mis	51
20	t	119
200	dat	59
21	vanden	34
210~	dus	100
221	heeft	3
222	is	56
223	c	52
23	gedaan	9
234	verschil	43
247	dat	130
252	men	95
266	deministervan	1
276	vallen	90
277	ge	183
280	endat	178
281	al	66
285	andere	88
287	te	12
289	kon	105
296	die	158
299	lie	118
311	niet	65
317~	ter	124
32	l	26
335=	la	107
345	ver	102
358=	ber	22
366	in	38
368	den	39
376	pruissen	2
38	gedaan	139
380=	gehad	172
381	en	13,153
382	g	82
384	ik	146
39	g	15
396	aan	111
397~	o	163
404	te	48
405	doch	141
41	ge	125
415	ik	159
419	hebbende	42
420	met	142
423	zijn	140
424	uiteen	155
430	es	169
436	s	135
438	effect	144
439	vol	81
447	over	117
457	ge	89
460	z	168
462	het	60
464	eenige	5
465	man	166
470	dezelve	110
482=	hier	180
483	lij	23
487	stadhouder	37
488	voor	167
489=	r	33
49	deconcert	19
492	hethofvan	21
499	over	72
53	niet	147
554	er	131
564	voor	4
564=	hand	182
566=	vande	181
580=	raad	86
595	c	122
596	veu	32
598	z	112
618	ter	165
632	ik	148
654	i	113
655~	in	46
659~	dithof	11
668	heb	173
680=	g	79
683	demarche	7
686	den	161
688	z	96
689	dagen	6
691	maar	109
696	h	123
70	heer	35
710~	ten	108
723	e	133
727	i	137
74	wezen	184
740	h	99
757	d	83
759	zegd	58
765	eeren	53
766=	erf	36
789	i	78
798	ge	57
79=	derepublicq	47
809	c	98
84~	zulks	179
86	moeten	176
87	en	45
883	nieuw	132
887	die	74
893	onderzoek	152
895=	a	31
897	antwoord	61
899~	l	44
91	graaf	162
92	u	40
97	zelf	116
98	te	67
