index	code	transcribed_group	plaintext
4854	173^_	1 7^_ 3^_	jaar
4855	37^^	3^^ 7	e
4856	205^CircleWithHorizontalBar	2^+ 0^_ 5	zeventien, dia Sept.
4857	81^_	8^_ 1^_	
4858	281^CircleWithHorizontalBar	2^+ 8^_ 1	zes, six
4859	158	1 5 8	en
4860	482^o	4 8^o 2	tachtig ?
4861	4	4	een
4862	"15^"""	1^'' 5	a
4863	41^^	4^^ 1	u
4864	190^o	1 9^o 0	tent
4865	5	5	i
4866	673^^	6^^ 7 3	que
4867	503^_	5^_ 0^_ 3	n
4868	75^o	7^o 5	staat
4869	113	1 1 3	der
4870	126^CircleWithHorizontalBar	1^+ 2^_ 6	zelve
4871	"104^"""	1^'' 0 4	aan
4872	607^o	6^o 0 7	U HoogEdelGestrenge
4873	300^^	3^^ 0 0	over
4874	7	7	te
4875	204^CircleWithHorizontalBar	2 0^+ 4	zenden
4876	158	1 5 8	en
4877	787^_	7^_ 8^_ 7	nu
4878	87	8 7	is
4879	115^^	1 1^^ 5	mÿ
4880	4	4	een
4881	"369^"""	3^'' 6 9	anderen
4882	75^o	7^o 5	staat
4883	16	1 6	daar
4884	380	3 8 0	van
4885	495^_	4^_ 9^_ 5	
4886	550	5 5 0	ge
4887	"801^"""	8^'' 0 1	dut
4888	161	1 6 1	ta
4889	26	2 6	de
4890	254^CircleWithHorizontalBar	2 5^+ 4	welke
4891	"54^"""	5^'' 4	
4892	705	7 0 5	geene
4893	"217^"""	2^'' 1 7	andere
4894	227	2 2 7	
4895	"66^"""	6^'' 6	ander
4896	114^_	1^_ 1^_ 4^_	ing[en]
4897	122^^	1 2^^ 2	ont
4898	940	9 4 0	
4899	26	2 6	de
4900	18^o	1^o 8	d
4901	"368^"""	3^'' 6 8	an
4902	743	7 4 3	dak?
4903	26	2 6	de
4904	970^^	9^^ 7 0	
4905	254^CircleWithHorizontalBar	2 5^+ 4	welke
4906	366^^	3^^ 6 6	op
4907	121	1 2 1	dic
4908	380	3 8 0	van
4909	205^CircleWithHorizontalBar	2^+ 0^_ 5	zeventien, dia Sept.
4910	81^_	8^_ 1^_	
4911	281^CircleWithHorizontalBar	2 8^+ 1^_	zes, six
4912	86	8 6	en
4913	482^o	4 8^o 2	tachtig ?
4914	"59^"""	5^'' 9	als
4915	9^^	9^^	nog
4916	366^^	3^^ 6 6	op
4917	150^o	1 5^o 0	st
4918	15	1 5	daadelyk
4919	450	4 5 0	p
4920	327	3 2 7	ei
4921	923^^	9^^ 2 3	staan
4922	772	7 7 2	gebr
4923	"277^"""	2^'' 7 7	agt ?
4924	144^CircleWithHorizontalBar	1 4^+ 4	zÿnde?
4925	787^_	7 8^_ 7	nu
4926	34^_	3^_ 4^_	
4927	114^^	1^^ 1 4	het
4928	117^^	1^^ 1 7	w
4929	136^CircleWithHorizontalBar	1 3^+ 6	zonder
4930	"677^"""	6^'' 7 7	
4931	482	4 8 2	entie
4932	445^o	4^o 4 5	van dit Hof
4933	174^^	1^^ 7 4	plaats
4934	143^_	1^_ 4^_ 3^_	heeft
4935	39^^	3^^ 9	men
4936	"59^"""	5^'' 9	als
4937	18^o	1 8^o	d
4938	"368^"""	3^'' 6 8	an
4939	"130^"""	1^'' 3 0	alle
4940	226^^	2^^ 2 6	overig
4941	37^^	3^^ 7	e
4942	218^CircleWithHorizontalBar	2^_ 1^+ 8^_	zwaar
4943	28^_	2^_ 8^_	
4944	141	1 4 1	dre
4945	320^_	3 2^_ 0^_	
4946	7	7	te
4947	84	8 4	zullen
4948	"493^"""	4^'' 9 3	boven?
4949	373^_	3^_ 7^_ 3^_	komen
4950	7	7	te
4951	572^_	5^_ 7^_ 2^_	meer
4952	16	1 6	daar
4953	39^^	3^^ 9	men
4954	34^_	3 4^_	
4955	133^CircleWithHorizontalBar	1 3^+ 3^_	zodanig
4956	723	7 2 3	
4957	26	2 6	de
4958	18^o	1 8^o	d
4959	609^o	6 0^o 9	uit
4960	583^CircleWithHorizontalBar	5^_ 8^+ 3^_	s
4961	"514^"""	5^'' 1 4	chi
4962	"150^"""	1^'' 5 0	as?
4963	61^o	6^o 1	so
4964	"745^"""	7^'' 4 5	ci
4965	"227^"""	2^'' 2 7	atic?
4966	33^^	3^^ 3	m
4967	4	4	een
4968	4^CircleWithHorizontalBar	4^+	t
4969	7	7	te
4970	976^_	9^_ 7^_ 6	min
4971	113	1 1 3	der
4972	7	7	te
4973	673^o	6^o 7 3	vreez
4974	86	8 6	en
4975	7	7	te
4976	216^_	2^_ 1^_ 6	hetten
4977	692^_	6^_ 9^_ 2^_	na de
4978	406^_	4^_ 0^_ 6	man?
4979	"59^"""	5^'' 9	als
4980	"39^"""	3^'' 9	aan Zyn Ed:
4981	26	2 6	de
4982	422^o	4 2^o 2	toc/toe?
4983	79^o	7^o 9	
4984	33^^	3^^ 3	m
4985	114^_	1^_ 1^_ 4^_	ing[en]
4986	34^_	3^_ 4^_	
4987	114^^	1 1^^ 4	het
4988	"311^"""	3^'' 1 1	be
4989	748	7 4 8	ÿ
4990	196	1 9 6	er
4991	583^CircleWithHorizontalBar	5^_ 8^+ 3^_	s
4992	"514^"""	5^'' 1 4	chi
4993	34^^	3^^ 4	r
4994	41^^	4^^ 1	u
4995	748	7 4 8	ÿ
4996	311	3 1 1	l
4997	114^_	1^_ 1^_ 4^_	ing[en]
4998	186^^	1^^ 8 6	s
4999	256^CircleWithHorizontalBar	2 5^+ 6	werk
5000	170	1 7 0	eens
5001	889^_	8^_ 8^_ 9^_	van den
5002	922	9 2 2	
5003	380	3 8 0	van
5004	213^o	2^o 1 3	
5005	381	3 8 1	b
5006	883^^	8^^ 8 3	rug
5007	569	5 6 9	gen
5008	942^_	9^_ 4^_ 2	
5009	43^CircleWithHorizontalBar	4 3^+	zal
5010	216^_	2 1^_ 6	hetten
5011	158	1 5 8	en
5012	"355^"""	3^'' 5 5	aldus
5013	26	2 6	de
5014	581^^	5 8^^ 1	principaal
5015	365^^	3^^ 6 5	oorzaak
5016	121	1 2 1	dic
5017	198^o	1 9^o 8	tot
5018	120	1 2 0	
5019	"150^"""	1^'' 5 0	as?
5020	61^o	6^o 1	so
5021	"745^"""	7^'' 4 5	ci
5022	"227^"""	2^'' 2 7	atic?
5023	783	7 8 3	gelegenheid
5024	143^_	1 4^_ 3^_	heeft
5025	707	7 0 7	geven?
5026	450^_	^_ 4^_ 5^_ 0^_	komt
5027	7	7	te
5028	"583^"""	5^'' 8 3	ce
5029	819	8 1 9	ss
5030	80	8 0	eeron
5031	"59^"""	5^'' 9	als
5032	18^o	1 8^o	d
5033	"368^"""	3^'' 6 8	an
5034	777	7 7 7	
5035	218^CircleWithHorizontalBar	2^+ 1^_ 8	zwaar
5036	43^CircleWithHorizontalBar	4^+ 3^_	zal
5037	90	9 0	zÿn
5038	25^^	2^^ 5	om
5039	"217^"""	2^'' 1 7	andere
5040	665^o	6^o 6 5	vorst
5041	86^_	^_ 8 6	
5042	77^o	7^o 7	stana
5043	"59^"""	^_ 5^'' 9	als
5044	"514^"""	5^'' 1 4	chi
5045	918^o	9^o 1 8	ur
5046	747	7 4 7	sa
5047	941^^	9^^ 4 1	x
5048	158	1 5 8	en
5049	489^_	4^_ 8^_ 9^_	main
5050	16^o	1 6^o	t
5051	17^o	1 7^o	z
5052	347	3 4 7	et
5053	"583^"""	5^'' 8 3	ce
5054	40^^	4 0^^	ra
5055	16	1 6	daar
5056	380	3 8 0	van
5057	380	3 8 0	van
5058	7	7	te
5059	57	5 7	volgen
5060	"199^"""	1^'' 9 9	af
5061	18^o	1^o 8	d
5062	34^^	3^^ 4	r
5063	41^^	4^^ 1	u
5064	748	7 4 8	ÿ
5065	317^^	3^^ 1 7	pen
5066	133^CircleWithHorizontalBar	1^_ 3^+ 3	zodanig
5067	90	9 0	zÿn
5068	26	2 6	de
5069	845	8 4 5	gedackt
5070	158	1 5 8	en
5071	948	9 4 8	
5072	254^CircleWithHorizontalBar	^_ 2^+ 5 4	welke
5073	"574^"""	5^'' 7 4	by
5074	139^o	1 3^o 9	sommege
5075	51^CircleWithHorizontalBar	5^+ 1^_	zelfs
5076	550	5 5 0	ge
5077	"195^"""	1^'' 9 5	ac
5078	"618^"""	6^'' 1 8	
5079	391	3 9 1	eerde
5080	158	1 5 8	en
5081	34^_	3 4^_	
5082	"487^"""	4^'' 8 7	bew
5083	34^_	3^_ 4^_	
5084	18^o	1 8^o	d
5085	923^^	9^^ 2 3	staan
5086	25	2 5	de
5087	396^^	3^^ 9 6	persoon
5088	488^o	^_ 4 8^o 8	tegenvoordig
5089	300^^	3^^ 0 0	over
5090	34	3 4	den
5091	"70^"""	7^'' 0	ao
5092	158^^	1^^ 5 8	par
5093	264	2 6 4	ent
5094	86	8 6	en
5095	422^o	4^o 2 2	toc/toe?
5096	77^o	7^o 7	stana
5097	158	1 5 8	en
5098	477^_	4^_ 7^_ 7	
5099	380	3 8 0	van
5100	42^CircleWithHorizontalBar	4^+ 2^_	zaak
5101	"53^"""	^_ 5^'' 3	alhier?
5102	25^^	2^^ 5	om
5103	619	6 1 9	gaan
5104	158	1 5 8	en
5105	3^_	3^_	
5106	45^CircleWithHorizontalBar	4^+ 5^_	zeer
5107	822^^	8^^ 2 2	se
5108	115^^	1^^ 1 5	mÿ
5109	60^^	6^^ 0	ock
5110	730^_	7^_ 3^_ 0	in
5111	387	3 8 7	eenige
5112	219^^	2^^ 1 9	op zigt
5113	22^CircleWithHorizontalBar	^_ 2^+ 2^_	wat
5114	283	2 8 3	ex
5115	30^^	3^^ 0	c
5116	264	2 6 4	ent
5117	802^^	8^^ 0 2	ri
5118	673^^	6^^ 7 3	que
5119	583^CircleWithHorizontalBar	5^+ 8^_ 3	s
5120	30^^	3^^ 0	c
5121	280^_	2^_ 8^_ 0	h
5122	748	7 4 8	ÿ
5123	674	6 7 4	n
5124	86	8 6	en
5125	7	7	te
5126	90	9 0	zÿn
5127	132^CircleWithHorizontalBar	1^_ 3^+ 2	zo
5128	373^_	3 7^_ 3^_	komen
5129	55	5 5	doch
5130	16	1 6	daar
5131	34^_	3^_ 4^_	
5132	710^o	7 1^o 0	verscheite
5133	800^_	8^_ 0^_ 0	
5134	158^_	^_ 1 5 8	
5135	389731^o	3^^ 8 9 ^_ 7^o 3 1	
5136	121	1 2 1	dic
5137	9^^	9^^	nog
5138	"128^"""	1^'' 2 8	al'
5139	30^^	3^^ 0	c
5140	918^o	9^o 1 8	ur
5141	5	5	i
5142	37^^	3^^ 7	e
5143	691^o	6^o 9 1	us
5144	86	8 6	en
5145	132^CircleWithHorizontalBar	1^_ 3^+ 2^_	zo
5146	777^_	7^_ 7^_ 7	nict?
5147	915	9 1 5	heel?
5148	86	8 6	en
5149	"128^"""	1^'' 2 8	al'
5150	28^^	2^^ 8	on
5151	788^_	7^_ 8^_ 8	nul?
5152	100^CircleWithHorizontalBar	1^_ 0^+ 0^_	weeten
5153	7^_	^_ 7	
5154	90	9 0	zÿn
5155	158	1 5 8	en
5156	16	1 6	daar
5157	25^^	2^^ 5	om
5158	911	9 1 1	heb
5159	29^_	2^_ 9^_	ik
5160	549	5 4 9	ge
5161	33^^	3^^ 3	m
5162	4	4	een
5163	4^CircleWithHorizontalBar	4^+	t
5164	25^^	2^^ 5	om
5165	120	1 2 0	
5166	132^CircleWithHorizontalBar	1^_ 3^+ 2^_	zo
5167	34^_	3^_ 4^_	
5168	114^^	1^^ 1 4	het
5169	591	5 9 1	
5170	132^CircleWithHorizontalBar	1^_ 3^+ 2	zo
5171	"59^"""	5^'' 9	als
5172	822^^	8 2^^ 2	se
5173	115^^	1^^ 1 5	mÿ
5174	380	3 8 0	van
5175	710^o	7^o 1 0	verscheite
5176	596^_	5^_ 9^_ 6	kant
5177	34^_	^_ 3^_ 4^_	
5178	741	7 4 1	haar
5179	37^^	3^^ 7	e
5180	800^_	8^_ 0^_ 0^_	
5181	731^o	^_ 7 3^o 1	voor
5182	373^_	3 7^_ 3^_	komen
5183	"104^"""	^_ 1^'' 0 4	aan
5184	607^o	6^o 0 7	U HoogEdelGestrenge
5185	7	7	te
5186	831^_	8 3^_ 1^_	meet
5187	86	8 6	en
5188	495^_	4 9^_ 5	
5189	"801^"""	8^'' 0 1	dut
5190	86	8 6	en
5191	22^CircleWithHorizontalBar	2^+ 2^_	wat
5192	731^o	7^o 3 1	voor
5193	114^^	1^^ 1 4	het
5194	226^^	2^^ 2 6	overig
5195	34	3 4	den
5196	362^o	3 6^o 2	tu?
5197	774^o	7 7^o 4	r
5198	47^_	4^_ 7^_	l
5199	822^^	8 2^^ 2	se
5200	674	6 7 4	n
5201	364^^	3^^ 6 4	oorlog
5202	"311^"""	3^'' 1 1	be
5203	434^o	4^o 3 4	tre
5204	377	3 7 7	f
5205	4^CircleWithHorizontalBar	4^+	t
5206	158	1 5 8	en
5207	26	2 6	de
5208	134^o	1 3^o 4	si
5209	362^o	3^o 6 2	tu?
5210	"227^"""	2^'' 2 7	atic?
5211	91^CircleWithHorizontalBar	9^+ 1^_	waar
5212	34^_	3^_ 4^_	
5213	52	5 2	dit
5214	884^^	8^^ 8 4	rÿk
5215	206^CircleWithHorizontalBar	2^+ 0 6	zig
5216	16	1 6?	daar
5217	60	6 0	door
5218	772	7 7 2	gebr
5219	"277^"""	2^'' 7 7	agt ?
5220	132^CircleWithHorizontalBar	1^_ 3^+ 2^_	zo
5221	87	8 7	is
5222	114^^	1^^ 1 4	het
5223	46^CircleWithHorizontalBar	4^+ 6	zeker?
5224	743	7 4 3	dak?
5225	741	7 4 1	haar
5226	"53^"""	5^'' 3	alhier?
5227	934^_	9^_ 3^_ 4^_	
5228	4	4	een
5229	364^^	3^^ 6 4	oorlog
5230	7	7	te
5231	28^^	2^^ 8	on
5232	757^^	7 5^^ 7	recht
5233	196	1 9 6	er
5234	158	1 5 8	en
5235	28^^	2^^ 8	on
5236	549	5 4 9	ge
5237	617^_	6^_ 1^_ 7	lee
5238	569	5 6 9	gen
5239	196	1 9 6	er
5240	344^o	3^o 4 4	tÿd
5241	158	1 5 8	en
5242	28^^	2^^ 8	on
5243	592	5 9 2	
5244	256^_	2^_ 5^_ 6	ige
5245	34^^	3^^ 4	r
5246	800^_	8^_ 0^_ 0	
5247	143^_	^_ 1^_ 4^_ 3	heeft
5248	451^_	4^_ 5^_ 1^_	konnen
5249	300^^	3 0^^ 0	over
5250	373^_	3^_ 7^_ 3^_	komen
5251	"59^"""	5^'' 9	als
5252	26	2 6	de
5253	705	7 0 5	geene
5254	254^CircleWithHorizontalBar	2^+ 5^_ 4	welke
5255	26	2 6	de
5256	4^CircleWithHorizontalBar	4^+	t
5257	918^o	9^o 1 8	ur
5258	598^_	5^_ 9^_ 8	ken
5259	787^_	7 8^_ 7^_	nu
5260	227^o	2^o 2 7	ver
5261	47^_	4^_ 7^_	l
5262	306	3 0 6	oo
5263	129^o	1 2^o 9	son
5264	158	1 5 8	en
5265	"199^"""	1^'' 9 9	af
5266	550	5 5 0	ge
5267	381^^	3^^ 8 1	pa
5268	150^o	1 5^o 0	st
5269	216^_	2^_ 1^_ 6	hetten
5270	25^^	2^^ 5	om
5271	741	7 4 1	haar
5272	34	3 4	den
5273	279^CircleWithHorizontalBar	2^+ 7^_ 9	zelfste
5274	"104^"""	1^'' 0 4	aan
5275	7	7	te
5276	57	5 7	volgen
5277	248^CircleWithHorizontalBar	2^+ 4 8	want
5278	"314^"""	3^'' 1 4	
5279	34	3 4	den
5280	854	8 5 4	geld
5281	339^_	3^_ 3^_ 9	
5282	198^_	1^_ 9^_ 8	g
5283	327	3 2 7	ei
5284	152	1 5 2	
5285	26	2 6	de
5286	"751^"""	7^'' 5 1	con
5287	377	3 7 7	f
5288	691^o	6^o 9 1	us
5289	134^o	1 3^o 4	si
5290	37^^	3^^ 7	e
5291	241^o	2^o 4 1	des
5292	70^^	7^^ 0	ordre
5293	158^_	^_ 1 5 8	
5294	"277^"""	2^'' 7 7	agt ?
5295	196	1 9 6	er
5296	404^_	4^_ 0^_ 4	lijk
5297	71^_	7^_ 1^_	heid
5298	91^CircleWithHorizontalBar	9^+ 1^_	waar
5299	34^_	3^_ 4^_	
5300	114^^	1^^ 1 4	het
5301	377	3 7 7	f
5302	28^^	2^^ 8	on
5303	30^^	3^^ 0	c
5304	5	5	i
5305	113^^	1^^ 1 3	ee
5306	540^_	5^_ 4^_ 0	le
5307	181^CircleWithHorizontalBar	1^_ 8^+ 1	wezen
5308	380	3 8 0	van
5309	52	5 2	dit
5310	884^^	8^^ 8 4	rÿk
5311	132^CircleWithHorizontalBar	1^+ 3^_ 2	zo
5312	60	6 0	door
5313	"56^"""	5^'' 6	aller
5314	378	3 7 8	la
5315	759^^	7 5^^ 9	
5316	37^^	3^^ 7	e
5317	720^^	7 2^^ 0	pour
5318	378	3 7 8	la
5319	341^_	3^_ 4^_ 1	
5320	110^_	1 1^_ 0^_	
5321	37^^	3^^ 7	e
5322	417	4 1 7	est
5323	26	2 6	de
5324	"277^"""	2^'' 7 7	agt ?
5325	193^o	1^o 9 3	tien
5326	70	7 0	
5327	280^_	2^_ 8^_ 0^_	h
5328	25^^	2^^ 5	om
5329	670^_	6 7^_ 0^_	mes
5330	418	4 1 8	et
5331	18^o	1 8^o	d
5332	210	2 1 0	
5333	973^_	9^_ 7^_ 3	mi
5334	311	3 1 1	l
5335	384	3 8 4	le
5336	"368^"""	3^'' 6 8	an
5337	"442^"""	4^'' 4 2	ci
5338	191	1 9 1	ens
5339	405^_	4 0^_ 5	ma
5340	7	7	te
5341	311	3 1 1	l
5342	97^o	9^o 7	o
5343	4^CircleWithHorizontalBar	4^+	t
5344	793^o	7 9^o 3	vi
5345	264	2 6 4	ent
5346	25	2 5	de
5347	234^^	2^^ 3 4	
5348	4^CircleWithHorizontalBar	4^+	t
5349	439^_	4 3^_ 9^_	ir
5350	18^o	1 8^o	d
5351	176^_	1 7^_ 6^_	
5352	720^^	7 2^^ 0	pour
5353	378	3 7 8	la
5354	820^_	8 2^_ 0	mer
5355	674	6 7 4	n
5356	722^_	7^_ 2^_ 2^_	
5357	37^^	3^^ 7	e
5358	26	2 6	de
5359	583^CircleWithHorizontalBar	5^+ 8^_ 3	s
5360	371^^	3^^ 7 1	or
5361	520^^	5^^ 2 0	qu
5362	32^_	3^_ 2^_	
5363	158	1 5 8	en
5364	34^^	3^^ 4	r
5365	417	4 1 7	est
5366	37^^	3 7^^	e
5367	283^o	2^o 8 3	tres
5368	450	4 5 0	p
5369	354	3 5 4	eu
5370	720^^	7^^ 2 0	pour
5371	317^_	3 1^_ 7^_	les
5372	178^o	1 7^o 8	sus
5373	52	5 2	dit
5374	272	2 7 2	es
5375	490	4 9 0	Esques?
5376	550^^	5 5^^ 0	res
5377	136	1 3 6	dont?
5378	311	3 1 1	l
5379	195	1 9 5	
5380	131^o	1 3^o 1	ser
5381	"15^"""	1^'' 5	a
5382	234^^	2^^ 3 4	
5383	"608^"""	6^'' 0 8	
5384	"671^"""	6 7^'' 1	cem/cen?
5385	180^^	1 8^^ 0	pos
5386	113^^	1 1^^ 3	ee
5387	26	2 6	de
5388	759^^	7 5^^ 9	
5389	311^_	^_ 3 1 1	land
5390	484	4 8 4	equi
5391	450	4 5 0	p
5392	113^^	1 1^^ 3	ee
5393	673	6 7 3	i
5394	805^^	8^^ 0 5	le Roi de
5395	931^^	9^^ 3 1	
5396	37^^	3^^ 7	e
5397	26	2 6	de
5398	"15^"""	1^'' 5	a
5399	369	3 6 9	fait
5400	158	1 5 8	en
5401	18^o	1 8^o	d
5402	"368^"""	3^'' 6 8	an
5403	6	6	ne
5404	340^_	3 4^_ 0	mar
5405	36^^	3^^ 6	c
5406	18^o	1 8^o	d
5407	764^o	7 6^o 4	un
5408	"443^"""	4 4^'' 3	ce?
5409	7	7	te
5410	418	4 1 8	et
5411	26	2 6	de
5412	311	3 1 1	l
5413	"82^"""	8^'' 2	
5414	"443^"""	4^'' 4 3	ce?
5415	7	7	te
5416	317^_	3 1^_ 7^_	les
5417	14^^	1^^ 4	
5418	317^_	3 1^_ 7^_	les
5419	644^^	6^^ 4 4	qa
5420	28^^	2^^ 8	on
5421	15	1 5	daadelyk
5422	354	3 5 4	eu
5423	26	2 6	de
5424	365^o	3^o 6 5	va
5425	34^^	3^^ 4	r
5426	61^o	6^o 1	so
5427	313	3 1 3	v
5428	25^_	2^_ 5^_	ie
5429	32^_	3 2^_	
5430	748	7 4 8	ÿ
5431	"15^"""	1 5^''	a
5432	673^^	6^^ 7 3	que
5433	311	3 1 1	l
5434	673^^	6^^ 7 3	que
5435	4^CircleWithHorizontalBar	4^+	t
5436	185	1 8 5	em
5437	583^CircleWithHorizontalBar	5^+ 8^_ 3	s
5438	673^^	6^^ 7 3	que
5439	673^^	6^^ 7 3	que
5440	805^^	8^^ 0 5	le Roi de
5441	450	4 5 0	p
5442	34^^	3^^ 4	r
5443	691^o	6^o 9 1	us
5444	822^^	8 2^^ 2	se
5445	294	2 9 4	fa
5446	87	8 7	is
5447	873^_	8^_ 7^_ 3	ol
5448	620^^	6^^ 2 0	ren
5449	377	3 7 7	f
5450	371^^	3^^ 7 1	or
5451	36^^	3^^ 6	c
5452	196	1 9 6	er
5453	64^o	6^o 4	son
5454	"73^"""	7^'' 3	armee
5455	158	1 5 8	en
5456	450	4 5 0	p
5457	34^^	3^^ 4	r
5458	691^o	6^o 9 1	us
5459	822^^	8^^ 2 2	se
5460	5	5	i
5461	872^_	8^_ 7^_ 2	
5462	674	6 7 4	n
5463	4^CircleWithHorizontalBar	4^+	t
5464	"15^"""	1^'' 5	a
5465	236	2 3 6	des
5466	265^_	2 6^_ 5	
5467	127^o	^_ 1 2^o 7	
5468	272	2 7 2	es
5469	26	2 6	de
5470	253^^	2^^ 5 3	plus
5471	5	5	i
5472	209	2 0 9	
5473	158	1 5 8	en
5474	18^o	1 8^o	d
5475	806^^	8 0^^ 6	
5476	583^CircleWithHorizontalBar	5^_ 8^+ 3	s
5477	18^o	1 8^o	d
5478	841^o	8 4^o 1	une
5479	699^_	6^_ 9^_ 9	negociatti
5480	674^^	6^^ 7 4	qui
5481	131^o	1 3^o 1	ser
5482	873^_	8 7^_ 3^_	ol
5483	253	2 5 3	egler?
5484	384	3 8 4	le
5485	255^o	2 5^o 5	ta
5486	450	4 5 0	p
5487	87	8 7	is
5488	264	2 6 4	ent
5489	110^^	1^^ 1 0	ro
5490	311	3 1 1	l
5491	"368^"""	3^'' 6 8	an
5492	198^_	1^_ 9^_ 8	g
5493	621^_	6^_ 2^_ 1^_	let
5494	196	1 9 6	er
5495	110^^	1 1^^ 0	ro
5496	378	3 7 8	la
5497	450	4 5 0	p
5498	34^^	3^^ 4	r
5499	691^o	6^o 9 1	us
5500	822^^	8 2^^ 2	se
5501	418	4 1 8	et
5502	931^^	9^^ 3 1	
5503	37^^	3^^ 7	e
5504	26	2 6	de
5505	319^_	3 1^_ 9	
5506	156	1 5 6	a
5507	804^o	8^o 0 4	voit
5508	59	5 9	donn?
5509	37^^	3^^ 7	e
5510	176^_	1 7^_ 6^_	
5511	673^^	6^^ 7 3	que
5512	34	3 4	den
5513	673^^	6^^ 7 3	que
5514	963	9 6 3	
5515	41^^	4^^ 1	u
5516	26	2 6	de
5517	418	4 1 8	et
5518	311	3 1 1	l
5519	28^^	2^^ 8	on
5520	234^^	2^^ 3 4	
5521	311	3 1 1	l
5522	873^_	8^_ 7^_ 3^_	ol
5523	103	1 0 3	de
5524	21^_	2 1^_	
5525	18^o	1 8^o	d
5526	764^o	7^o 6 4	un
5527	526^^	5^^ 2 6	ra
5528	658^^	6^^ 5 8	pro
5529	"514^"""	5 1^'' 4	chi
5530	668^_	6^_ 6^_ 8^_	ment
5531	236	2 3 6	des
5532	361^o	3^o 6 1	troupes
5533	453^o	4^o 5 3	ver
5534	583^CircleWithHorizontalBar	5^_ 8^+ 3^_	s
5535	"511^"""	5^'' 1 1	
5536	596^^	5^^ 9 6	qua
5537	"374^"""	3^'' 7 4	ar
5538	268^o	2^o 6 8	ti
5539	196	1 9 6	er
5540	583^CircleWithHorizontalBar	5^_ 8^+ 3	s
5541	405^_	4^_ 0^_ 5^_	ma
5542	87	8 7	is
5543	33^_	3 3^_	
5544	272	2 7 2	es
5545	167^^	1 6^^ 7	per
5546	264	2 6 4	ent
5547	673^^	6^^ 7 3	que
5548	"916^"""	9^'' 1 6	
5549	"443^"""	4^'' 4 3	ce?
5550	7	7	te
5551	"916^"""	9^'' 1 6	
5552	32^o	3^o 2	
5553	26	2 6	de
5554	450	4 5 0	p
5555	34^^	3^^ 4	r
5556	691^o	6^o 9 1	us
5557	822^^	8 2^^ 2	se
5558	28^^	2^^ 8	on
5559	417	4 1 7	est
5560	764^o	7 6^o 4	un
5561	450	4 5 0	p
5562	354	3 5 4	eu
5563	40^^	4^^ 0	ra
5564	583^CircleWithHorizontalBar	5 8^+ 3	s
5565	931^^	9^^ 3 1	
5566	110^^	1 1^^ 0	ro
5567	103	1 0 3	de
5568	450	4 5 0	p
5569	41^^	4^^ 1	u
5570	87	8 7	is
5571	764	7 6 4	froid
5572	36^^	3^^ 6	c
5573	147^^	1^^ 4 7	ou
5574	99^^	9^^ 9	ple
5575	26	2 6	de
5576	583^CircleWithHorizontalBar	5^+ 8 3	s
5577	185	1 8 5	em
5578	"127^"""	1 2^'' 7	ai
5579	6	6	ne
5580	186^^	1 8^^ 6	s
5581	331^_	3^_ 3^_ 1^_	maar
5582	21^^	2^^ 1	
5583	114^^	1 1^^ 4	het
5584	126^CircleWithHorizontalBar	1^_ 2^+ 6	zelve
5585	174^^	1 7^^ 4	plaats
5586	143^_	1^_ 4^_ 3	heeft
5587	52^^	5^^ 2	ontrent
5588	301^_	3^_ 0^_ 1	de Koning von F
5589	192^CircleWithHorizontalBar	1^+ 9^_ 2	Z
5590	946^o	9^o 4 6	we
5591	999^o	9 9^o 9	den
5592	175^CircleWithHorizontalBar	1^_ 7^+ 5	weet
5593	29^_	2^_ 9^_	ik
5594	777^_	7^_ 7^_ 7	nict?
5595	607^o	6^o 0 7	U HoogEdelGestrenge
5596	43^CircleWithHorizontalBar	4^+ 3^_	zal
5597	49	4 9	direct
5598	38^_	3 8^_	
5599	181^CircleWithHorizontalBar	^_ 1 8^+ 1	wezen
5600	26	2 6	de
5601	738^^	7^^ 3 8	propositie F
5602	121	1 2 1	dic
5603	34^_	3^_ 4^_	
5604	"881^"""	8^'' 8 1	den
5605	"699^"""	6^'' 9 9	e
5606	340^_	3^_ 4^_ 0	mar
5607	47^_	4^_ 7^_	l
5608	893	8 9 3	en
5609	773	7 7 3	gedaan
5610	143^_	1^_ 4^_ 3^_	heeft
5611	253^CircleWithHorizontalBar	2^+ 5 3	weg
5612	191	1 9 1	ens
5613	2	2	een
5614	"57^"""	5^'' 7	allientie
5615	184^o	1 8^o 4	tegen
5616	583^CircleWithHorizontalBar	5^+ 8 3	s
5617	130	1 3 0	dit Hof
5618	158	1 5 8	en
5619	114^^	1 1^^ 4	het
5620	"371^"""	3^'' 7 1	antwoort
5621	743	7 4 3	dak?
5622	16	1 6	daar
5623	366^^	3 6^^ 6	op
5624	707	7 0 7	geven?
5625	440^_	^_ 4^_ 4^_ 0	is
5626	337	3 3 7	entem
5627	"171^"""	1^'' 7 1	van
5628	960	9 6 0	
5629	356^_	3^__ 5^__ 6	hib
5630	70^_	^_ 7^' 0	die Heer
5631	907	9^' 0 7	hadde
5632	40^_	4^_ 0^_	
5633	277^_	2 7^_ 7^_	vre
5634	578^_	5^_ 7^_ 8	hÿ
5635	617	6^' 1 7	Frontier
5636	358^_	3^_ 5^_ 8	r
5637	66	6^' 6	
5638	712	7 1^' 2	gelÿk
5639	460^_	4^__ 6^__ 0	laat?
