index	code	transcribed_group	plaintext
4299	743	7 4 3	dak?
4300	822^^	8^^ 2 2	se
4301	184^o	1 8^o 4	tegen
4302	583^CircleWithHorizontalBar	5^_ 8^+ 3	s
4303	114^^	1^^ 1 4	het
4304	"104^"""	1^'' 0 4	aan
4305	923^^	9^^ 2 3	staan
4306	26	2 6	de
4307	731^o	7 3^o 1	voor
4308	173^_	1^_ 7^_ 3	jaar
4309	"311^"""	3^'' 1 1	be
4310	218^CircleWithHorizontalBar	2^_ 1^+ 8	zwaar
4311	404^_	4^_ 0^_ 4	lijk
4312	43^CircleWithHorizontalBar	4^+ 3	zal
4313	451^_	4^_ 5^_ 1	konnen
4314	34^_	3 4^_	
4315	44^CircleWithHorizontalBar	4^+ 4^_	zee
4316	772	7 7 2	gebr
4317	"277^"""	2^'' 7 7	agt ?
4318	112^CircleWithHorizontalBar	1^_ 1^+ 2^_	worden
4319	253^CircleWithHorizontalBar	2 5^+ 3	weg
4320	191	1 9 1	ens
4321	26	2 6	de
4322	17^o	1^o 7	z
4323	91^CircleWithHorizontalBar	9^+ 1	waar
4324	37^^	3^^ 7	e
4325	227^o	2^o 2 7	ver
4326	"719^"""	7^'' 1 9	bo
4327	41^^	4^^ 1	u
4328	117^^	1 1^^ 7	w
4329	114^_	1^_ 1^_ 4^_	ing[en]
4330	158	1 5 8	en
4331	15	1 5	daadelyk
4332	8	8	zal
4333	227^o	2 2^o 7	ver
4334	705^_	7^_ 0^_ 5	
4335	114^_	1^_ 1^_ 4	ing[en]
4336	254^CircleWithHorizontalBar	2^+ 5 4	welke
4337	60	6 0	door
4338	619	6 1 9	gaan
4339	583^CircleWithHorizontalBar	5 8^+ 3	s
4340	"130^"""	1^'' 3 0	alle
4341	970^^	9^^ 7 0	
4342	783^_	^_ 7^_ 8^_ 3	
4343	216^_	2^_ 1^_ 6	hetten
4344	7	7	te
4345	572^_	5^_ 7^_ 2	meer
4346	60	6 0	door
4347	741	7 4 1	haar
4348	178	1 7 8	
