index	code	transcribed_group	plaintext
914	750^_	7^_ 5^_ 0^_	Minister F
915	422^o	4 2^o 2	toc/toe?
916	204^CircleWithHorizontalBar	2 0^+ 4^_	zenden
917	"614^"""	^_ 6 1^{''} 4	
918	219^o	2 1^o 9	van het
919	"371^"""	3 7^{''} 1	antwoort
920	743	7 4 3	dak?
921	379	3 7 9	op
922	26	2 6	de
923	"487^"""	4 8^{''} 7	bew
924	767^o	7 6^o 7	us
925	251^o	2 5^o 1	te
926	"371^"""	3 7^{''} 1	antwoort
927	131^_	1^_ 3^_ 1^_	van
928	192^CircleWithHorizontalBar	1^_ 9^+ 2^_	Z
929	946^o	9 4^o 6	we
930	999^o	9 9^o 9	den
931	158	1 5 8	en
932	"881^"""	8 8^{''} 1	den
933	"699^"""	6 9^{''} 9	e
934	340^_	3^_ 4^_ 0^_	mar
935	47^_	4^_ 7^_	l
936	893	8 9 3	en
937	293^CircleWithHorizontalBar	2 9^+ 3	zoude?
938	309^_	3^_ 0^_ 9^_	laaten
939	57	5 7	volgen
940	414^o	4 1^o 4	ten
941	31^^	3 1^^	e
942	"931^"""	9 3^{''} 1	ÿ
943	674	6 7 4	n
944	815	8 1 5	de
945	48^_	4 8^_	om
946	924	9 2 4	het
947	375	3 7 5	aan
948	309	3 0 9	dit
949	13^_	1^_ 3^_	hot
950	7	7	te
951	"749^"""	7 4^{''} 9	
952	158	1 5 8	en
953	39	3 9	hun
954	"71^"""	7 1^{''}	
955	16	1 6	daar
956	379	3 7 9	op
957	7	7	te
958	715^o	7 1^o 5	verzocken
959	473^o	4 7^o 3	bÿ
960	309	3 0 9	dit
961	"371^"""	3 7^{''} 1	antwoort
962	588^^	5 8^^ 8	propon
963	750	7 5 0	cerd
964	452^_	4 5^_ 2^_	de Koning F
965	158	1 5 8	en
966	361^_	3 6^_ 1	
967	365^_	3^_ 6^_ 5	it
968	750	7 5 0	cerd
969	812^o	8 1^o 2	voornocond?
970	31^^	3 1^^	e
971	278^_	2 7^_ 8^_	be
972	429^_	4 2^_ 9^_	ÿ
973	26	2 6	de
974	13^_	1^_ 3^_	hot
975	579^_	^_ 5 7^_ 9	na
976	37^^	3 7^^	e
977	45^_	4^_ 5^_	der
978	48^_	4^_ 8^_	om
979	375	3 7 5	aan
980	25	2 5	de
981	"462^"""	4 6^{''} 2	acte
982	254^CircleWithHorizontalBar	2 5^+ 4^_	welke
983	236^_	2 3^_ 6	zich
984	109^^	1 0^^ 9	met
985	165^_	1^_ 6^_ 5^_	dit Hot
986	833^^	8 3^^ 3	[ge]sloten
987	143^_	^_ 1^_ 4^_ 3^_	heeft
988	741^^	7 4^^ 1	pu
989	530^^	5 3^^ 0	re
990	491^^	4 9^^ 1	et
991	58^o	5 8^o	si
992	176^^	1 7^^ 6	mpli
993	"442^"""	4 4^{''} 2	ci
994	417^o	4 1^o 7	ter
995	7	7	te
996	"271^"""	2 7^{''} 1	
997	109^^	1 0^^ 9	met
998	"774^"""	7 7^{''} 4	by
999	650^o	6 5^o 0	voeg
1000	114^_	1^_ 1^_ 4	ing[en]
1001	743	7 4 3	dak?
1002	414^o	4 1^o 4	ten
1003	219^^	2 1^^ 9	op zigt
1004	451	4 5 1	van de
1005	60	6 0	door
1006	192^CircleWithHorizontalBar	1^_ 9^+ 2	Z
1007	946^o	9 4^o 6	we
1008	999^o	9 9^o 9	den
1009	158	1 5 8	en
1010	"881^"""	8 8^{''} 1	den
1011	"699^"""	6 9^{''} 9	e
1012	340^_	3 4^_ 0	mar
1013	47^_	4^_ 7^_	l
1014	893	8 9 3	en
1015	550	5 5 0	ge
1016	379	3 7 9	op
1017	167^^	1^^ 6 7	per
1018	218^CircleWithHorizontalBar	2^_ 1^+ 8^_	
1019	104^_	1^_ 0^_ 4	ig
1020	71^_	7^_ 1^_	heid
1021	52^^	5 2^^	ontrent
1022	815	8 1 5	de
1023	576^CircleWithHorizontalBar	5 7^+ 6	na
1024	26	2 6	de
1025	530^^	5 3^^ 0	re
1026	232^CircleWithHorizontalBar	2^_ 3^+ 2^_	be
1027	78^^	7^^ 8	paal
1028	114^_	1^_ 1^_ 4^_	ing[en]
1029	451	4 5 1	van de
1030	975^^	9 7^^ 5	
1031	730^_	^_ 7^_ 3^_ 0^_	in
1032	114^^	1 1^^ 4	het
1033	794^o	7 9^o 4	vier quatre
1034	26	2 6	de
1035	"374^"""	3 7^{''} 4	ar
1036	268^o	2 6^o 8	ti
1037	413^^	4 1^^ 3	k
1038	533	5 3 3	u
1039	311	3 1 1	l
1040	380	3 8 0	van
1041	94^_	9^_ 4^_	hun
1042	6	6	ne
1043	"462^"""	4 6^{''} 2	acte
1044	550	5 5 0	ge
1045	25	2 5	de
1046	255^o	2 5^o 5	ta
1047	5	5	i
1048	"625^"""	6 2^{''} 5	ll
1049	750	7 5 0	cerd
1050	488^_	4 8^_ 8^_	
1051	380	3 8 0	van
1052	368^^	3^^ 6 8	opinie
1053	21^CircleWithHorizontalBar	2^+ 1^_	was
1054	743	7 4 3	dak?
1055	114^^	1 1^^ 4	het
1056	723	7 2 3	
1057	373^_	3^_ 7^_ 3^_	komen
1058	25	2 5	de
1059	7	7	te
1060	283	2 8 3	ex
1061	4^CircleWithHorizontalBar	4^+	t
1062	80	8 0	eeron
1063	743	7 4 3	dak?
1064	133^CircleWithHorizontalBar	1 3^+ 3^_	zodanig
1065	31^^	3 1^^	e
1066	975^^	9 7^^ 5	
1067	527^_	^_ 5 2 7	konnen
1068	37^^	3 7^^	e
1069	947^^	9 4^^ 7	ÿ
1070	583^CircleWithHorizontalBar	5 8^+ 3^_	s
1071	36^^	3^^ 6	c
1072	454	4 5 4	h
1073	4^CircleWithHorizontalBar	4^+	t
1074	32^CircleWithHorizontalBar	3^_ 2^+	wierd
1075	114^^	1 1^^ 4	het
1076	644^o	6 4^o 4	
1077	26	2 6	de
1078	158	1 5 8	en
1079	281^CircleWithHorizontalBar	2 8^+ 1^_	zes, six
1080	25	2 5	de
1081	"374^"""	3 7^{''} 4	ar
1082	268^o	2 6^o 8	ti
1083	413^^	4 1^^ 3	k
1084	533	5 3 3	u
1085	311	3 1 1	l
1086	380	3 8 0	van
1087	39	3 9	hun
1088	"462^"""	4 6^{''} 2	acte
1089	109^^	1 0^^ 9	met
1090	165^_	1 6^_ 5	dit Hot
1091	142^CircleWithHorizontalBar	1^_ 4^+ 2^_	zulks
1092	571	5 7 1	geneeg
1093	193^CircleWithHorizontalBar	1^_ 9^+ 3^_	zaaon?
1094	815	8 1 5	de
1095	417^o	4 1^o 7	ter
1096	976^_	9 7^_ 6	min
1097	391	3 9 1	eerde
1098	136^CircleWithHorizontalBar	1 3^+ 6	zonder
1099	379	3 7 9	op
1100	163	1 6 3	den
1101	277	2 7 7	ete
1102	150^o	1 5^o 0	st
1103	31^^	3^^ 1	e
1104	774^CircleWithHorizontalBar	7^_ 7^+ 4^_	May
1105	236	2 3 6	des
1106	811^o	8 1^o 1	voorleede
1107	97	9 7	dat
1108	583^CircleWithHorizontalBar	5^_ 8^+ 3^_	s
1109	109	1 0 9	deliberatie
1110	165^_	1 6^_ 5	dit Hot
1111	833^^	8 3^^ 3	[ge]sloten
1112	211^_	2 1^_ 1^_	hadde
1113	198^o	1 9^o 8	tot
1114	489^_	4 8^_ 9^_	
1115	193^o	1 9^o 3	tien
1116	451	4 5 1	van de
1117	675^o	6 7^o 5	
1118	451	4 5 1	van de
1119	"748^"""	7 4^{''} 8	
1120	230	2 3 0	der
1121	776^_	7 7^_ 6	neutraal
1122	158^_	^_ 1 5 8	
1123	114^^	1 1^^ 4	het
1124	724	7 2 4	welgeval
1125	316^_	3 1^_ 6	len
1126	15^CircleWithHorizontalBar	1^+ 5^_	waar
1127	730^_	7^_ 3^_ 0^_	in
1128	590^CircleWithHorizontalBar	5^_ 9^+ 0^_	zÿn Majesteit
1129	52^^	5^^ 2	ontrent
1130	303	3 0 3	die
1131	"371^"""	3 7^{''} 1	antwoort
1132	21^CircleWithHorizontalBar	^_ 2^+ 1^_	was
1133	143^_	1 4{^_}{_.} 3{^_}{_.}	heeft
1134	874^CircleWithHorizontalBar	8^_ 7^+ 4^_	de K? Vice Cancelier
1135	39^CircleWithHorizontalBar	3^+ 9^_	wÿ
1136	674	6 7 4	n
1137	5	5	i
1138	158^CircleWithHorizontalBar	1^_ 5^+ 8^_	ge
1139	"944^"""	9 4^{''} 4	dagen
1140	"789^"""	7 8^{''} 9	daar ha
1141	375	3 7 5	aan
1142	26	2 6	de
1143	450	4 5 0	p
1144	448^CircleWithHorizontalBar	4 4^+ 8^_	r
1145	"703^"""	7 0^{''} 3	u
1146	"931^"""	9 3^{''} 1	ÿ
1147	"860^"""	8 6^{''} 0	ss
1148	87	8 7	is
1149	"514^"""	5 1^{''} 4	chi
1150	750^_	7^_ 5^_ 0^_	Minister F
1151	991^_	9^_ 9^_ 1^_	naam
1152	191	1 9 1	ens
1153	"477^"""	4 7^{''} 7	der
1154	521^_	5 2^_ 1^_	Keizerin
1155	730^_	7^_ 3^_ 0^_	in
1156	"371^"""	3 7^{''} 1	antwoort
1157	7	7	te
1158	447^_	4 4^_ 7	kennen
1159	707	7 0 7	geven?
1160	743^_	^_ 7 4 3	mentie
1161	410^_	4 1^_ 0^_	zij
1162	45^CircleWithHorizontalBar	4 5^+	zeer
1163	139^o	1 3^o 9	sommege
1164	134^o	1 3^o 4	si
1165	"490^"""	4 9^{''} 0	ble
1166	21^CircleWithHorizontalBar	2^_ 1^+	was
1167	874	8 7 4	
1168	375	3 7 5	aan
1169	789^o	7 8^o 9	vertrouwen
1170	743	7 4 3	dak?
1171	163	1 6 3	den
1172	376^_	3 7^_ 6	koning
1173	90	9 0	zÿn
1174	497^_	4 9^_ 7^_	
1175	730^_	7^_ 3^_ 0^_	in
1176	741	7 4 1	haar
1177	851^^	8 5^^ 1	steld
1178	31^^	3^^ 1	e
1179	188^^	1 8^^ 8	dat
1180	927	9 2 7	
1181	410^_	4 1^_ 0^_	zij
1182	414^_	4 1^_ 4^_	
1183	375	3 7 5	aan
1184	130^CircleWithHorizontalBar	1^_ 3^+ 0^_	zien
1185	219^o	2 1^o 9	van het
1186	256^CircleWithHorizontalBar	2^_ 5^+ 6	werk
1187	230	2 3 0	der
1188	737^o	7 3^o 7	bewuste
1189	"347^"""	3 4^{''} 7	accessie?
1190	109^^	^_ 1 0^^ 9	met
1191	242^_	2^_ 4^_ 2^_	van
1192	192^CircleWithHorizontalBar	^_ 1^_ 9^+ 2^_	Z
1193	946^o	9 4^o 6	we
1194	999^o	9 9^o 9	den
1195	158	1 5 8	en
1196	"881^"""	8 8^{''} 1	den
1197	"699^"""	6 9^{''} 9	e
1198	340^_	3 4^_ 0^_	mar
1199	47^_	4 7^_	l
1200	893	8 9 3	en
1201	219^o	2 1^o 9	van het
1202	126^CircleWithHorizontalBar	1^_ 2^+ 6^_	zelve
1203	724	7 2 4	welgeval
1204	316^_	3^_ 1^_ 6^_	len
1205	21^CircleWithHorizontalBar	2^_ 1^+	was
1206	"59^"""	5 9^{''}	als
1207	70^CircleWithHorizontalBar	7^_ 0^+	zyne
1208	450	4 5 0	p
1209	448^CircleWithHorizontalBar	4 4^+ 8^_	r
1210	"703^"""	7 0^{''} 3	u
1211	"931^"""	9 3^{''} 1	ÿ
1212	"860^"""	8^{''} 6 0	ss
1213	87	8 7	is
1214	"514^"""	5 1^{''} 4	chi
1215	333^_	3^_ 3^_ 3^_	majesteit?
1216	236^_	2^_ 3^_ 6	zich
1217	782^_	7^_ 8^_ 2^_	noglens?
1218	730^_	7 3^_ 0^_	in
1219	44	4 4	di zen
1220	674	6 7 4	n
1221	950	9 5 0	
1222	380	3 8 0	van
1223	741	7 4 1	haar
1224	31^^	3 1^^	e
1225	"284^"""	2 8^{''} 4	
1226	375^_	3^_ 7^_ 5^_	konde
1227	85^CircleWithHorizontalBar	8^+ 5^_	of
1228	183^CircleWithHorizontalBar	1^_ 8^+ 3^_	wil
1229	26	2 6	de
1230	550	5 5 0	ge
1231	674	6 7 4	n
1232	80	8 0	eeron
1233	158	1 5 8	en
1234	229^^	2 2^^ 9	
1235	60^^	6^^ 0	ock
1236	375	3 7 5	aan
1237	114^^	1 1^^ 4	het
1238	734	7 3 4	
1239	721^o	7 2^o 1	vindon
1240	380	3 8 0	van
1241	590^CircleWithHorizontalBar	5^_ 9^+ 0^_	zÿn Majesteit
1242	300^^	3 0^^ 0	over
1243	311	3 1 1	l
1244	5	5	i
1245	7^CircleWithHorizontalBar	7^+	et
1246	48^_	4^_ 8^_	om
1247	"968^"""	9 6^{''} 8	dien
1248	"333^"""	3 3^{''} 3	aangeende
1249	7	7	te
1250	57	5 7	volgen
1251	158	1 5 8	en
1252	7	7	te
1253	309^_	3 0^_ 9^_	laaten
1254	152^_	1 5^_ 2^_	het geene?
1255	236^_	2 3^_ 6	zich
1256	109^^	1 0^^ 9	met
1257	39	3 9	hun
1258	"316^"""	3 1^{''} 6	become?
1259	343^_	^_ 3^_ 4^_ 3	
1260	417	4 1 7	est
1261	300^^	3 0^^ 0	over
1262	77	7 7	een
1263	297	2 9 7	
1264	150^o	1 5^o 0	st
1265	104^_	1^_ 0^_ 4^_	ig
1266	158	1 5 8	en
1267	"689^"""	6 8^{''} 9	conven
1268	"270^"""	2 7^{''} 0	able
1269	136^^	1 3^^ 6	oor
1270	"801^"""	8 0^{''} 1	dut
1271	25	2 5	de
1272	743	7 4 3	dak?
1273	410^_	4^_ 1^_ 0^_	zij
1274	26^CircleWithHorizontalBar	2^+ 6^_	wel
1275	300^^	3 0^^ 0	over
1276	362^o	3^o 6 2	tu?
1277	705^o	7 0^o 5	ÿ
1278	383	3 8 3	g
1279	4^CircleWithHorizontalBar	4^+	t
1280	21^CircleWithHorizontalBar	2^_ 1^+	was
1281	219^o	2 1^o 9	van het
1282	787^_	7^_ 8^_ 7	nu
1283	158	1 5 8	en
1284	114^^	1 1^^ 4	het
1285	658	6 5 8	
1286	188^^	1 8^^ 8	dat
1287	375	3 7 5	aan
1288	26	2 6	de
1289	714	7 1 4	
1290	31^^	3^^ 1	e
1291	42^CircleWithHorizontalBar	4^_ 2^+	zaak
1292	293^CircleWithHorizontalBar	2^_ 9^+ 3^_	zoude?
1293	422^o	4 2^o 2	toc/toe?
1294	772	7 7 2	gebr
1295	"277^"""	2 7^{''} 7	agt ?
1296	188^CircleWithHorizontalBar	1^_ 8^+ 8^_	worden
1297	730^_	7^_ 3^_ 0^_	in
1298	"968^"""	9 6^{''} 8	dien
1299	114^^	1 1^^ 4	het
1300	256^CircleWithHorizontalBar	2^_ 5^+ 6^_	werk
1301	451	4 5 1	van de
1302	737^o	7 3^o 7	bewuste
1303	"347^"""	3 4^{''} 7	accessie?
1304	363^o	3 6^o 3	tusschen
1305	488^_	4 8^_ 8^_	
1306	158	1 5 8	en
1307	242^_	2 4^_ 2	van
1308	192^CircleWithHorizontalBar	^_ 1 9^+ 2^_	Z
1309	946^o	9^o 4 6	we
1310	999^o	9 9^o 9	den
1311	158	1 5 8	en
1312	"881^"""	8 8^{''} 1	den
1313	"699^"""	6 9^{''} 9	e
1314	340^_	3 4^_ 0^_	mar
1315	47^_	4 7^_	l
1316	893	8 9 3	en
1317	379	3 7 9	op
1318	601	6 0 1	d
1319	2	2	een
1320	85^CircleWithHorizontalBar	8 5^+	of
1321	"217^"""	2 1^{''} 7	andere
1322	40^CircleWithHorizontalBar	4^_ 0^+	wÿze
1323	550	5 5 0	ge
1324	252	2 5 2	effect
1325	533	5 3 3	u
1326	750	7 5 0	cerd
1327	158	1 5 8	en
1328	549	5 4 9	ge
1329	"374^"""	3 7^{''} 4	ar
1330	528^^	5 2^^ 8	rang
1331	750	7 5 0	cerd
1332	375	3 7 5	aan
1333	188^CircleWithHorizontalBar	1^_ 8^+ 8^_	worden
1334	331^_	3^_ 3^_ 1^_	maar
1335	743	7 4 3	dak?
1336	784	7 8 4	gelÿk
1337	2^_	2^_	hier
1338	581^o	5 8^o 1	voor
1339	583	5 8 3	
1340	523	5 2 3	e
1341	383	3 8 3	g
1342	4^CircleWithHorizontalBar	4^+	t
1343	375	3 7 5	aan
1344	242^_	2 4^_ 2	van
1345	192^CircleWithHorizontalBar	^_ 1^_ 9^+ 2^_	Z
1346	946^o	9 4^o 6	we
1347	999^o	9 9^o 9	den
1348	158	1 5 8	en
1349	"881^"""	8 8^{''} 1	den
1350	"699^"""	6 9^{''} 9	e
1351	340^_	3 4^_ 0^_	mar
1352	47^_	4^_ 7	l
1353	893	8 9 3	en
1354	497	4 9 7	even
1355	57^CircleWithHorizontalBar	5^_ 7^+	zo
1356	976^_	9 7^_ 6	min
1357	"59^"""	5 9^{''}	als
1358	375	3 7 5	aan
1359	70^CircleWithHorizontalBar	7^_ 0^+	zyne
1360	454^_	4 5^_ 4^_	
1361	31^^	3 1^^	e
1362	333^_	3^_ 3^_ 3^_	majesteit?
1363	"968^"""	9 6^{''} 8	dien
1364	"333^"""	3 3^{''} 3	aangeende
1365	27^_	2 7^_	ig
1366	375^_	3 7^_ 5	konde
1367	85^CircleWithHorizontalBar	8^+ 5^_	of
1368	183^CircleWithHorizontalBar	1^_ 8^+ 3^_	wil
1369	26	2 6	de
1370	581^o	5 8^o 1	voor
1371	124^o	1 2^o 4	schrÿen
1372	743	7 4 3	dak?
1373	236	2 3 6	des
1374	853^_	8^_ 5^_ 3	nict?
1375	7	7	te
1376	976^_	9 7^_ 6	min
1377	959^_	9 5^_ 9	bÿ
1378	128^_	1^_ 2^_ 8^_	ff
1379	"968^"""	9 6^{''} 8	dien
1380	70^CircleWithHorizontalBar	7^_ 0^+	zyne
1381	450	4 5 0	p
1382	448^CircleWithHorizontalBar	4^_ 4^+ 8	r
1383	"703^"""	7 0^{''} 3	u
1384	"931^"""	9 3^{''} 1	ÿ
1385	"860^"""	8^{''} 6 0	ss
1386	87	8 7	is
1387	"514^"""	5 1^{''} 4	chi
1388	333^_	3^_ 3^_ 3^_	majesteit?
1389	253	2 5 3	egler?
1390	26	2 6	de
1391	"347^"""	3 4^{''} 7	accessie?
1392	109^^	1 0^^ 9	met
1393	25	2 5	de
1394	812^o	8 1^o 2	voornocond?
1395	31^^	3 1^^	e
1396	13^_	1^_ 3^_	hot
1397	380^_	^_ 3 8 0	krÿgen?
1398	"881^"""	8 8^{''} 1	den
1399	"699^"""	6 9^{''} 9	e
1400	340^_	3^_ 4^_ 0^_	mar
1401	47^_	4^_ 7^_	l
1402	893	8 9 3	en
1403	158	1 5 8	en
1404	192^CircleWithHorizontalBar	1^_ 9^+ 2^_	Z
1405	730^_	7^_ 3^_ 0^_	in
1406	815	8 1 5	de
1407	718	7 1 8	
1408	31^^	3 1^^	e
1409	899^o	8 9^o 9	vreede handeling
1410	7	7	te
1411	"47^"""	4 7^{''}	ad
1412	973^_	9 7^_ 3	mi
1413	4^CircleWithHorizontalBar	4^+	t
1414	175^o	1 7^o 5	t
1415	80	8 0	eeron
1416	85^CircleWithHorizontalBar	8^_ 5^+	of
1417	109^^	1 0^^ 9	met
1418	"815^"""	8 1^{''} 5	dezolve
1419	"67^"""	6 7^{''}	anders
1420	7	7	te
1421	503^o	5 0^o 3	tra
1422	36^^	3^^ 6	c
1423	896	8 9 6	t
1424	80	8 0	eeron
1425	"59^"""	5 9^{''}	als
1426	109^^	1 0^^ 9	met
1427	39	3 9	hun
1428	42^^	4 2^^	onderdaan
1429	136^CircleWithHorizontalBar	^_ 1 3^+ 6^_	zonder
1430	363^o	3^o 6 3	tusschen
1431	297^_	2 9^_ 7	kom
1432	150^o	1 5^o 0	st
1433	131^_	1 3^_ 1^_	van
1434	387	3 8 7	eenige
1435	"217^"""	2 1^{''} 7	andere
1436	681^_	6 8^_ 1	mogendheden
1437	51^CircleWithHorizontalBar	5^_ 1^+	zelfs
1438	853^_	8 5^_ 3^_	nict?
1439	451	4 5 1	van de
1440	571^_	5 7^_ 1^_	mediateur
1441	730^_	^_ 7 3^_ 0^_	in
1442	44	4 4	di zen
1443	75^o	7 5^o	staat
1444	380	3 8 0	van
1445	42^CircleWithHorizontalBar	4^_ 2^+	zaak
1446	158^_	^_ 1 5 8	
1447	16	1 6	daar
1448	26	2 6	de
1449	13^_	1^_ 3^_	hot
1450	131^_	^_ 1^_ 3^_ 1	van
1451	209^o	2 0^o 9	tri
1452	526^^	5 2^^ 6	ra
1453	869^^	8 6^^ 9	n
1454	413^^	4 1^^ 3	k
1455	884^^	8 8^^ 4	rÿk
1456	158	1 5 8	en
1457	919^^	9 1^^ 9	spa
1458	881	8 8 1	nje
1459	60^^	6 0^^	ock
1460	374	3 7 4	fem?
1461	31^^	3 1^^	e
1462	404^_	4 0^_ 4^_	lijk
1463	822	8 2 2	en
1464	239	2 3 9	on
1465	454^o	4 5^o 4	verander?
1466	404^_	4 0^_ 4^_	lijk
1467	"963^"""	9 6^{''} 3	
1468	90^_	^_ 9 0	dit Hot
1469	206^CircleWithHorizontalBar	2 0^+ 6	zig
1470	81	8 1	ion
1471	705	7 0 5	geene
1472	899^o	8 9^o 9	vreede handeling
1473	730^_	7 3^_ 0^_	in
1474	7	7	te
1475	309^_	3 0^_ 9^_	laaten
1476	57^CircleWithHorizontalBar	5^_ 7^+	zo
1477	539^_	5 3^_ 9	lang
1478	"59^"""	5 9^{''}	als
1479	741	7 4 1	haar
1480	52^^	5 2^^	ontrent
1481	114^^	1 1^^ 4	het
1482	102^^	1 0^^ 2	point
1483	253^CircleWithHorizontalBar	2 5^+ 3	weg
1484	191	1 9 1	ens
1485	"443^"""	4 4^{''} 3	ce?
1486	323^_	3 2^_ 3	lo
1487	261^^	2^^ 6 1	n
1488	260^^	2^^ 6 0	i
1489	341^^	3 4^^ 1	en
1490	704	7 0 4	geen
1491	653^o	6 5^o 3	voldeen?
1492	114^_	1^_ 1^_ 4^_	ing[en]
1493	707	7 0 7	geven?
1494	187^CircleWithHorizontalBar	^_ 1^_ 8^+ 7^_	word
1495	158	1 5 8	en
1496	242^_	2 4^_ 2^_	van
1497	333	3 3 3	en
1498	448	4 4 8	ge
1499	311^_	3^_ 1^_ 1^_	land
1500	206^CircleWithHorizontalBar	2 0^+ 6	zig
1501	52^^	5 2^^	ontrent
1502	163	1 6 3	den
1503	31^^	3 1^^	e
1504	748	7 4 8	ÿ
1505	583^CircleWithHorizontalBar	5^_ 8^+ 3^_	s
1506	36^^	3^^ 6	c
1507	454	4 5 4	h
1508	134^_	1^_ 3^_ 4^_	haast?
1509	919^^	9 1^^ 9	spa
1510	881	8 8 1	nje
1511	253^CircleWithHorizontalBar	2 5^+ 3	weg
1512	191	1 9 1	ens
1513	815	8 1 5	de
1514	"511^"""	5 1^{''} 1	
1515	134^^	1 3^^ 4	onzer
1516	37^^	3 7^^	e
1517	380	3 8 0	van
1518	803	8 0 3	gi
1519	"721^"""	7 2^{''} 1	bre
1520	"473^"""	4 7^{''} 3	l
1521	255^o	2 5^o 5	ta
1522	704^o	7 0^o 4	r
1523	85^CircleWithHorizontalBar	8 5^+	of
1524	183^^	1 8^^ 3	een
1525	484	4 8 4	equi
1526	291^o	2 9^o 1	val
1527	264	2 6 4	ent
1528	131^_	1 3^_ 1^_	van
1529	"968^"""	9 6 8^{''}	dien
1530	853^_	8^_ 5^_ 3^_	nict?
1531	256^^	2 5^^ 6	positis?
1532	158	1 5 8	en
1533	601	6 0 1	d
1534	533	5 3 3	u
1535	187^^	1 8^^ 7	ÿ
1536	26	2 6	de
1537	404^_	4 0^_ 4^_	lijk
1538	217	2 1 7	
1539	750	7 5 0	cerd
1540	57^CircleWithHorizontalBar	5^_ 7^+	zo
1541	130^CircleWithHorizontalBar	1^_ 3^+ 0^_	zien
1542	11	1 1	ik
1543	853^_	8^_ 5^_ 3^_	nict?
1544	743	7 4 3	dak?
1545	25	2 5	de
1546	112	1 1 2	depeche
1547	380^_	^_ 3 8 0	krÿgen?
1548	812^o	8 1^o 2	voornocond?
1549	62^^	6^^ 2	oost
1550	341^^	3 4^^ 1	en
1551	881^^	8 8^^ 1	le Roi de
1552	822^^	8 2^^ 2	se
1553	"617^"""	6 1^{''} 7	
1554	581^o	5 8^o 1	voor
1555	57^CircleWithHorizontalBar	5^_ 7^+	zo
1556	633^o	6 3^o 3	verre
1557	822^^	8 2^^ 2	se
1558	309	3 0 9	dit
1559	789^_	7 8^_ 9^_	object
1560	953^_	9 5^_ 3^_	be
1561	434^o	4 3^o 4	tre
1562	317^o	3 1^o 7	f
1563	444	4 4 4	fan?
1564	387	3 8 7	eenige
1565	"217^"""	2 1^{''} 7	andere
1566	953^_	9 5^_ 3^_	be
1567	208^o	2 0^o 8	trek
1568	413^^	4 1^^ 3	k
1569	114^_	1^_ 1^_ 4^_	ing[en]
1570	451^_	4 5^_ 1^_	konnen
1571	216^_	2^_ 1^_ 6	hetten
1572	"59^"""	5 9^{''}	als
1573	379	3 7 9	op
1574	2	2	een
1575	"673^"""	6 7^{''} 3	propositie
1576	254^CircleWithHorizontalBar	2 5^+ 4	welke
1577	822^^	8 2^^ 2	se
1578	979^_	9^_ 7^_ 9^_	
1579	451	4 5 1	van de
1580	737^o	7 3^o 7	bewuste
1581	202^^	2 0^^ 2	ontfangen
1582	31^^	3 1^^	e
1583	"371^"""	3 7^{''} 1	antwoort
1584	375^_	^_ 3 7 5	konde
1585	26	2 6	de
1586	364^^	3^^ 6 4	oorlog
1587	406	4 0 6	ende
1588	681^_	6 8^_ 1^_	mogendheden
1589	131^_	^_ 1 3^_ 1^_	van
1590	209^o	2 0^o 9	tri
1591	526^^	5 2^^ 6	ra
1592	869^^	8 6^^ 9	n
1593	413^^	4 1 3^^	k
1594	884^^	8 8^^ 4	rÿk
1595	919^^	9 1^^ 9	spa
1596	881	8 8 1	nje
1597	158	1 5 8	en
1598	333	3 3 3	en
1599	448	4 4 8	ge
1600	311^_	3^_ 1^_ 1^_	land
1601	300^^	3 0^^ 0	over
1602	341^^	3 4^^ 1	en
1603	99^CircleWithHorizontalBar	9^+ 9^_	weer
1604	339^^	3 3^^ 9	zullen
1605	184^CircleWithHorizontalBar	1^_ 8^+ 4^_	willen
1606	309^_	3 0^_ 9^_	laaten
1607	57	5 7	volgen
1608	109^^	1 0^^ 9	met
1609	387	3 8 7	eenige
1610	527	5 2 7	ver
1611	405^_	4 0^_ 5^_	ma
1612	31^^	3^^ 1	e
1613	674	6 7 4	n
1614	114^_	1^_ 1^_ 4^_	ing[en]
1615	158	1 5 8	en
1616	664^^	6 6^^ 4	propositie F
1617	979^_	9 7^_ 9	
1618	167^^	1 6^^ 7	per
1619	567^_	5^_ 6^_ 7^_	
1620	601	6 0 1	d
1621	"195^"""	1 9^{''} 5	ac
1622	674^^	6^^ 7 4	qui
1623	4^CircleWithHorizontalBar	4^+	t
1624	48^_	4^_ 8^_	om
1625	114^^	1 1^^ 4	het
1626	256^CircleWithHorizontalBar	2 5^+ 6	werk
1627	331^_	3 3^_ 1^_	maar
1628	375	3 7 5	aan
1629	26	2 6	de
1630	984	9 8 4	hand
1631	7	7	te
1632	92^_	9^_ 2^_	haaden
1633	379	3 7 9	op
1634	815	8 1 5	de
1635	"673^"""	6 7^{''} 3	propositie
1636	254^CircleWithHorizontalBar	2 5^+ 4	welke
1637	26	2 6	de
1638	750^_	7^_ 5^_ 0^_	Minister F
1639	131^_	1^_ 3^_ 1^_	van
1640	563^^	5^^ 6 3	p
1641	788^^	7 8^^ 8	r
1642	719^^	7 1^^ 9	u
1643	748	7 4 8	ÿ
1644	940^^	9 4^^ 0	ss
1645	"574^"""	5 7^{''} 4	by
1646	"929^"""	9 2^{''} 9	n
1647	881^o	8 8^o 1	volgens
1648	749^_	7 4^_ 9	mÿne
1649	118^^	1 1^^ 8	missive
1650	889^_	8 8^_ 9	van den
