index	code	transcribed_group	plaintext
317	741	7 4 1	haar
318	31^^	3 1^^	e
319	299	2 9 9	
320	511^^	5 1^^ 1	project
321	379	3 7 9	op
322	70^CircleWithHorizontalBar	7^_ 0^+	zyne
323	333^_	3^_ 3^_ 3^_	majesteit?
324	525^o	5 2^o 5	veel
325	530^^	5 3^^ 0	re
326	31^^	3 1^^	e
327	598^_	5 9^_ 8^_	ken
328	4^CircleWithHorizontalBar	4^+	t
329	158	1 5 8	en
330	75^o	7 5^o	staat
331	481^_	4 8^_ 1^_	maak?
332	16^o	1^o 6	t
333	158	1 5 8	en
334	198^o	1 9^o 8	tot
335	860^^	8^^ 6 0	be
336	963^o	9^o 6 3	wÿs
337	743	7 4 3	dak?
338	822^^	8 2^^ 2	se
339	924	9 2 4	het
340	511^^	5 1^^ 1	project
341	781	7 8 1	
342	853^_	8^_ 5^_ 3^_	nict?
343	550	5 5 0	ge
344	"269^"""	2 6^{''} 9	ab
345	389	3 8 9	eere
346	"368^"""	3 6^{''} 8	an
347	601	6 0 1	d
348	420^^	4 2^^ 0	on
349	674	6 7 4	n
350	750	7 5 0	cerd
351	143^_	1 4^_ 3^_	heeft
352	57^CircleWithHorizontalBar	5 7^+	zo
353	"968^"""	9 6^{''} 8	dien
354	4^CircleWithHorizontalBar	4^+	t
355	188^^	1 8^^ 8	dat
356	"314^"""	3 1^{''} 4	
357	9	9	dat
358	822^^	8 2^^ 2	se
359	815	8 1 5	de
360	362^_	3 6^_ 2	jong
361	31^^	3 1^^	e
362	810	8 1 0	Groot
363	665^o	6^o 6 5	vorst
364	"448^"""	4 4^{''} 8	cen
365	583^CircleWithHorizontalBar	5^_ 8^+ 3^_	s
366	255^o	2 5^o 5	ta
367	674	6 7 4	n
368	4^CircleWithHorizontalBar	4^+	t
369	705^o	7 0^o 5	ÿ
370	680	6 8 0	n
371	784	7 8 4	gelÿk
372	613^^	6 1^^ 3	reeds?
373	26	2 6	de
374	389	3 8 9	eere
375	140^_	1^_ 4^_ 0^_	hebbe
376	559	5 5 9	gehas
377	730^_	7 3^_ 0	in
378	77	7 7	een
379	749^_	7 4^_ 9^_	mÿne
380	448^CircleWithHorizontalBar	4 4^+ 8^_	r
381	581^o	5 8^o 1	voor
382	695	6 9 5	gaan de
383	375	3 7 5	aan
384	607^o	6 0^o 7	
385	7	7	te
386	346^_	3 4^_ 6	
387	970	9 7 0	in
388	984	9 8 4	hand
389	380^_	^_ 3 8 0	krÿgen?
390	383	3 8 3	g
391	352^_	3^_ 5^_ 2^_	r
392	5	5	i
393	37^^	3 7^^	e
394	47^_	4^_ 7^_	l
395	822^^	8 2^^ 2	se
396	601^o	6 0 1^o	
397	"128^"""	^_ 1 2^{''} 8	al'
398	976^^	9 7^^ 6	sedert?
399	77	7 7	een
400	550	5 5 0	ge
401	34^^	3 4^^	r
402	533	5 3 3	u
403	187^^	1 8^^ 7	ÿ
404	39^^	3 9^^	men
405	344^o	3 4^o 4	tÿd
406	927^^	9 2^^ 7	
407	143^_	^_ 1^_ 4^_ 3^_	heeft
408	158	1 5 8	en
409	792^^	7 9^^ 2	hem
410	26	2 6	de
411	567^^	5^^ 6 7	g
412	448^CircleWithHorizontalBar	4^_ 4^+ 8^_	r
413	25^_	2^_ 5^_	ie
414	413^^	4 1^^ 3	k
415	822^^	8 2^^ 2	se
416	255^o	2 5^o 5	ta
417	327	3 2 7	ei
418	460^_	4 6^_ 0^_	laat?
419	617^_	6 1^_ 7^_	lee
420	158	1 5 8	en
421	231^o	2 3^o 1	
422	2	2	een
423	323^o	3 2^o 3	g
424	704^o	7 0^o 4	r
425	25^_	2^_ 5^_	ie
426	413^^	4 1^^ 3	k
427	822^^	8 2^^ 2	se
428	"922^"""	9 2^{''} 2	
429	533	5 3 3	u
430	36^^	3^^ 6	c
431	"227^"""	2 2^{''} 7	atic?
432	553	5 5 3	
433	17^o	1 7^o	z
434	748	7 4 8	ÿ
435	143^_	1^_ 4^_ 3^_	heeft
436	60^^	6^^ 0	ock
437	239	2 3 9	on
438	615^_	6 1^_ 5^_	lang
439	510^_	5^_ 1^_ 0^_	s
440	375	3 7 5	aan
441	163	1 6 3	den
442	644^_	6 4^_ 4^_	
443	358^_	3 5^_ 8^_	r
444	533	5 3 3	u
445	339^_	3 3^_ 9	
446	505^_	5 0^_ 5^_	z
447	585^_	5 8^_ 5	o
448	359^_	3 5^_ 9	w
449	146^^	1 4^^ 6	ordre
450	204^CircleWithHorizontalBar	2 0^+ 4	zenden
451	48^_	^_ 4 8^_	om
452	515^o	5 1^o 5	
453	567^^	5^^ 6 7	g
454	448^CircleWithHorizontalBar	4 4^+ 8	r
455	25^_	2^_ 5^_	ie
456	413^^	4 1^^ 3	k
457	822^^	8 2^^ 2	se
458	362^_	3 6^_ 2^_	jong
459	19	1 9	daar Zal
460	7	7	te
461	278^_	2 7^_ 8	be
462	292^CircleWithHorizontalBar	2 9^+ 2^_	zorgen
463	158	1 5 8	en
464	75^_	7^_ 5^_	
465	7	7	te
466	330^_	3 3^_ 0^_	maaden
467	109^^	1 0^^ 9	met
468	309	3 0 9	dit
469	"371^"""	3 7^{''} 1	antwoort
470	143^_	1^_ 4^_ 3^_	heeft
471	39^^	3 9^^	men
472	"53^"""	5 3^{''}	alhier?
473	571	5 7 1	geneeg
474	822	8 2 2	en
475	550	5 5 0	ge
476	858^_	8^_ 5^_ 8^_	nom
477	158	1 5 8	en
478	"968^"""	9 6^{''} 8	dien
479	729^o	7 2^o 9	volgen
480	26	2 6	de
481	90	9 0	zÿn
482	815	8 1 5	de
483	640^CircleWithHorizontalBar	6 4^+ 0^_	
484	31^^	3^^ 1	e
485	750^_	7^_ 5^_ 0^_	Minister F
486	7^_	^_ 7	
487	150^o	1 5^o 0	st
488	160	1 6 0	o
489	165	1 6 5	k
490	230	2 3^ 0	der
491	311	3 1 1	l
492	33^^	3^^ 3	m
493	158	1 5 8	en
494	600^_	6 0^_ 0	ko
495	200^_	2 0^_ 0^_	p
496	317^^	3 1^^ 7	pen
497	812	8 1 2	ha
498	569	5 6 9	gen
499	550	5 5 0	ge
500	464^_	4 6^_ 4	last
501	549	5 4 9	ge
502	188^CircleWithHorizontalBar	1^_ 8^+ 8^_	worden
503	48^_	4^_ 8^_	om
504	"814^"""	8 1^{''} 4	deze
505	137^_	1 3^_ 7^_	handel
506	114^_	1^_ 1^_ 4^_	ing[en]
507	380	3 8 0	van
508	563^^	5^^ 6 3	p
509	788^^	7 8^^ 8	r
510	719^^	7 1^^ 9	u
511	748	7 4 8	ÿ
512	940^^	9 4^^ 0	ss
513	"514^"""	5 1^{''} 4	chi
514	"929^"""	9 2^{''} 9	n
515	"128^"""	1 2^{''} 8	al'
516	16	1 6	daar
517	379	3 7 9	op
518	"130^"""	1 3^{''} 0	alle
519	982^_	9^_ 8^_ 2^_	moge
520	404^_	4^_ 0^_ 4^_	lijk
521	31^^	3^^ 1	e
522	40^CircleWithHorizontalBar	4^_ 0^+	wÿze
523	7	7	te
524	"147^"""	1 4^{''} 7	
525	158	1 5 8	en
526	7	7	te
527	126^o	1 2^o 6	secondeeren
528	16	1 6	daar
529	860^^	8^^ 6 0	be
530	927^_	9^_ 2^_ 7^_	nevens
531	143^_	1 4^_ 3^_	heeft
532	946^CircleWithHorizontalBar	9^_ 4^+ 6	de K? Vice Cancelier
533	379	3 7 9	op
534	464^_	4^_ 6^_ 4	last
535	451	4 5 1	van de
536	521^_	5^_ 2^_ 1^_	Keizerin
537	16	1 6	daar
538	300^^	3 0^^ 0	over
539	60^^	6^^ 0	ock
540	384^_	3^_ 8^_ 4^_	laast Leeder?
541	922^CircleWithHorizontalBar	9^_ 2^+ 2^_	Woensdag
542	149^o	1 4^o 9	sprucken?
543	109^^	1 0^^ 9	met
544	315	3 1 5	eenpaarig
545	"53^"""	5 3^{''}	alhier?
546	702^^	7 0^^ 2	resideeren
547	26	2 6	de
548	750^_	7^_ 5^_ 0^_	Minister F
549	380^_	^_ 3 8 0	krÿgen?
550	192^CircleWithHorizontalBar	1^_ 9^+ 2^_	Z
551	946^o	9^o 4 6	we
552	999^o	9 9^o 9	den
553	158	1 5 8	en
554	"881^"""	8 8^{''} 1	den
555	"699^"""	6 9^{''} 9	e
556	340^_	3 4^_ 0	mar
557	47^_	4^_ 7^_	l
558	893	8 9 3	en
559	414^o	4 1^o 4	ten
560	51^^	5 1^^	ontgaan?
561	947^^	9 4^^ 7	ÿ
562	674	6 7 4	n
563	26	2 6	de
564	17^o	1 7^o	z
565	127^^	1 2^^ 7	
566	25	2 5	de
567	42^CircleWithHorizontalBar	4^_ 2^+	zaak
568	414^o	4 1^o 4	ten
569	485	4 8 5	
570	86	8 6	en
571	375	3 7 5	aan
572	741	7 4 1	haar
573	31^^	3^^ 1	e
574	13^_	1^_ 3	hot
575	906^_	^_ 9 0^_ 6	mog
576	414^o	4 1^o 4	ten
577	375	3 7 5	aan
578	"704^"""	7 0^{''} 4	be
579	525^o	5 2^o 5	veel
580	853^o	8 5^o 3	en
581	109^^	1 0^^ 9	met
582	476^^	4 7^^ 6	
583	889^_	8 8^_ 9	van den
584	102^CircleWithHorizontalBar	1^_ 0^+ 2^_	wensoh?
585	158	1 5 8	en
586	114^^	1 1^^ 4	het
587	239^o	2 3^o 9	
588	131^_	1^_ 3^_ 1^_	van
589	587^CircleWithHorizontalBar	5^ 8^+ 7^_	haar keiz Maj.t
590	743	7 4 3	dak?
591	48^_	4^_ 8^_	om
592	370^CircleWithHorizontalBar	3^_ 7^+ 0^_	hek
593	656^^	6 5^^ 6	principe
594	451	4 5 1	van de
595	341^_	3 4^_ 1^_	
596	268^o	2^o 6 8	ti
597	343^_	3^_ 4^_ 3	
598	"462^"""	4 6^{''} 2	acte
599	718^_	^_ 7 1 8	
600	7	7	te
601	330^_	3^_ 3^_ 0^_	maaden
602	86	8 6	en
603	924	9 2 4	het
604	"355^"""	3 5^{''} 5	aldus
605	581^o	5 8^o 1	voor
606	114^^	1 1^^ 4	het
607	422^o	4 2^o 2	toc/toe?
608	373^_	3 7^_ 3	komen
609	26	2 6	de
610	"59^"""	5 9^{''}	als
611	2	2	een
612	524^o	5 2^o 4	vast?
613	37^^	3^^ 7	e
614	158	1 5 8	en
615	401^o	4 0^o 1	on
616	454^o	4 5^o 4	verander?
617	404^_	4 0^_ 4^_	lijk
618	31^^	3 1^^	e
619	180^CircleWithHorizontalBar	1^_ 8^+ 0^_	wet
620	158	1 5 8	en
621	30^o	3 0^o	riet
622	583^CircleWithHorizontalBar	5 8^+ 3^_	s
623	856^_	8^_ 5^_ 6	no
624	196	1 9 6	er
625	581^o	5 8^o 1	voor
626	26	2 6	de
627	757^^	7 5^^ 7	recht
628	728^_	^_ 7 2^_ 8	der
629	776^_	7^_ 7^_ 6	neutraal
630	524^o	^_ 5 2^o 4	vast?
631	7	7	te
632	3^o	3^o	stel
633	25	2 5	de
634	"347^"""	3 4^{''} 7	accessie?
635	109^^	1 0^^ 9	met
636	70^CircleWithHorizontalBar	7^_ 0^+	zyne
637	563^^	5^^ 6 3	p
638	788^^	7 8^^ 8	r
639	719^^	7 1^^ 9	u
640	748	7 4 8	ÿ
641	819	8 1 9	ss
642	159	1 5 9	is
643	"514^"""	5 1^{''} 4	chi
644	333^_	3^_ 3^_ 3^_	majesteit?
645	379	3 7 9	op
646	163	1 6 3	den
647	651^o	6 5^o 1	voet
648	57^CircleWithHorizontalBar	5^_ 7^+	zo
649	"59^"""	5 9^{''}	als
650	236^_	2 3^_ 6	zich
651	581^o	5 8^o 1	voor
652	851^^	8 5^^ 1	steld
653	25	2 5	de
654	158	1 5 8	en
655	15^CircleWithHorizontalBar	1^_ 5^+	waar
656	730^_	7 3^_ 0^_	in
657	520^CircleWithHorizontalBar	5^_ 2^+ 0^_	de keizerin
658	704	7 0 4	geen
659	26	2 6	de
660	978^_	9^_ 7^_ 8	minst
661	730^_	7 3^_ 0^_	in
662	"689^"""	6 8^{''} 9	conven
663	5	5	i
664	264	2 6 4	ent
665	313	3 1 3	v
666	877^_	8^_ 7^_ 7^_	
667	60	6 0	door
668	715	7 1 5	beid
669	31^^	3 1^^	e
670	13^_	1^_ 3^_	hot
671	550^_	^_ 5 5 0	liv?
672	"195^"""	1 9^{''} 5	ac
673	430^_	4 3^_ 0^_	cc
674	450	4 5 0	p
675	4^CircleWithHorizontalBar	4^+	t
676	750	7 5 0	cerd
677	158	1 5 8	en
678	109^^	1 0^^ 9	met
679	85^_	8^_ 5^_	
680	412^_	4 1^_ 2^_	
681	833^^	8 3^^ 3	[ge]sloten
682	32^CircleWithHorizontalBar	^_ 3^+ 2^_	wierd
683	15^CircleWithHorizontalBar	1^_ 5^+	waar
684	379	3 7 9	op
685	39^^	3 9^^	men
686	787^_	7 8^_ 7	nu
687	601	6 0 1	d
688	"368^"""	3 6^{''} 8	an
689	114^^	1 1^^ 4	het
690	161^o	1^o 6 1	
691	23^o	2^o 3	zal
692	754^_	7^_ 5^_ 4^_	
693	414^o	4 1^o 4	ten
694	"199^"""	1 9^{''} 9	af
695	247^CircleWithHorizontalBar	2^_ 4^+ 7^_	wagten
696	"54^"""	5 4^{''}	
697	862^^	8 6^^ 2	hek?
698	52^o	5^o 2	
699	219^o	2 1^o 9	van het
700	"487^"""	4 8^{''} 7	bew
701	767^o	7 6^o 7	us
702	251^o	2 5^o 1	te
703	383	3 8 3	g
704	448^CircleWithHorizontalBar	4 4^+ 8^_	r
705	5	5	i
706	31^^	3^^ 1	e
707	413^^	4 1^^ 3	k
708	822^^	8 2^^ 2	se
709	511^^	5 1^^ 1	project
710	781	7 8 1	
711	81^o	8 1^o	
712	87	8 7	is
713	158	1 5 8	en
714	520^CircleWithHorizontalBar	5^_ 2^+ 0^_	de keizerin
715	16	1 6	daar
716	52^^	5^^ 2	ontrent
717	581^o	5 8^o 1	voor
718	741	7 4 1	haar
719	37^^	3 7^^	e
720	"528^"""	5 2^{''} 8	
721	601	6 0 1	d
722	264	2 6 4	ent
723	86	8 6	en
724	77^o	7 7^o	stana
725	121	1 2 1	dic
726	450	4 5 0	p
727	81^o	8 1^o	
728	68^CircleWithHorizontalBar	6^+ 8^_	zunjgen?
729	143^_	1^_ 4^_ 3^_	heeft
730	941^_	9^_ 4^_ 1^_	
731	57^CircleWithHorizontalBar	^_ 5^_ 7^+	zo
732	444^_	4^_ 4^_ 4^_	kan
733	39^^	3 9^^	men
734	55	5 5	doch
735	16	1 6	daar
736	111^^	1 1^^ 1	uit
737	853^_	8^_ 5^_ 3^_	nict?
738	"704^"""	7 0^{''} 4	be
739	833^^	8 3^^ 3	[ge]sloten
740	743	7 4 3	dak?
741	924	9 2 4	het
742	959^_	9^_ 5^_ 9^_	bÿ
743	741	7 4 1	haar
744	781	7 8 1	
745	527	5 2 7	ver
746	367^o	3^o 6 7	vallen
747	293^CircleWithHorizontalBar	2^_ 9^+ 3^_	zoude?
748	90	9 0	zÿn
749	525^o	5 2^o 5	veel
750	496^_	4 9^_ 6	
751	"784^"""	7 8^{''} 4	S
752	"780^"""	7^_ 8^_ 0^{''}	c
753	"858^"""	8 5 8^{''}	hÿ
754	"929^"""	9 2^o 9^{''}	n
755	"930^"""	9 3^{''} 0	t
756	741	7 4 1	haar
757	31^^	3 1^^	e
758	530^^	5 3^^ 0	re
759	7	7	te
760	787^_	7 8^_ 7	nu
761	31^^	3 1^^	e
762	379	3 7 9	op
763	309	3 0 9	dit
764	856^^	8 5^^ 6	
765	527	5 2 7	ver
766	365^^	3 6^^ 5	oorzaak
767	4^CircleWithHorizontalBar	4^+	t
768	7	7	te
769	90	9 0	zÿn
770	60	6 0	door
771	26	2 6	de
772	812^_	8^_ 1^_ 2^_	on
773	344^o	3 4^o 4	tÿd
774	256^_	2 5^_ 6	ige
775	792	7 9 2	
776	303^_	^_ 3 0 3	koop
777	16	1 6	daar
778	300^^	3 0^^ 0	over
779	153^_	1^_ 5^_ 3^_	hier
780	784	7 8 4	gelÿk
781	327	3 2 7	ei
782	230	2 3 0	der
783	583444^CircleWithHorizontalBar	5^_ 8^+ 3^_ 4 4^^ 4	
784	860^^	8 6^^ 0	be
785	383	3 8 3	g
786	420^^	4 2^^ 0	on
787	674	6 7 4	n
788	158	1 5 8	en
789	48^_	4^_ 8^_	om
790	7	7	te
791	477^_	4^_ 7^_ 7^_	
792	893	8 9 3	en
793	158	1 5 8	en
794	303	3 0 3	die
795	822^^	8 2^^ 2	se
796	33^^	3 3^^	m
797	77	7 7	een
798	4^CircleWithHorizontalBar	4^+	t
799	"355^"""	3 5^{''} 5	aldus
800	7	7	te
801	184^CircleWithHorizontalBar	1^_ 8^+ 4^_	willen
802	946^o	9 4^o 6	we
803	999^o	9 9^o 9	den
804	741^^	7 4^^ 1	pu
805	530^^	5 3^^ 0	re
806	491^^	4 9^^ 1	et
807	58^o	5^o 8	si
808	176^^	1 7^^ 6	mpli
809	"442^"""	4 4^{''} 2	ci
810	417^o	4 1^o 7	ter
811	293^CircleWithHorizontalBar	2^_ 9^+ 3^_	zoude?
812	"491^"""	4 9^{''} 1	blyern?
813	239	2 3 9	on
814	881^o	8 8^o 1	volgens
815	158	1 5 8	en
816	"671^"""	6 7^{''} 1	cem/cen?
817	760	7 6 0	form
818	815	8 1 5	de
819	"195^"""	1 9^{''} 5	ac
820	7	7	te
821	60	6 0	door
822	236^_	2 3^_ 6	zich
823	109^^	1 0^^ 9	met
824	165^_	1 6^_ 5	dit Hot
825	833^^	8 3^^ 3	[ge]sloten
826	136^CircleWithHorizontalBar	^_ 1 3^+ 6	zonder
827	473^o	4 7^o 3	bÿ
828	650^o	6 5^o 0	voeg
829	114^_	1^_ 1^_ 4	ing[en]
830	451	4 5 1	van de
831	51^o	5^o 1	secrat
832	31^^	3 1^^	e
833	"374^"""	3 7^{''} 4	ar
834	268^o	2^o 6 8	ti
835	413^^	4 1^^ 3	k
836	533	5 3 3	u
837	316^_	3 1^_ 6	len
838	521^CircleWithHorizontalBar	5 2^+ 1^_	haar keiz Maj.t
839	853^_	8^_ 5^_ 3^_	nict?
840	"199^"""	1 9^{''} 9	af
841	369^_	3^_ 6^_ 9	keer?
842	104^_	1^_ 0^_ 4^_	ig
843	331^_	3^_ 3^_ 1^_	maar
844	278^_	2 7^_ 8^_	be
845	448^CircleWithHorizontalBar	4^_ 4^+ 8^_	r
846	31^^	3^^ 1	e
847	5	5	i
848	500^_	5 0^_ 0^_	d
