index	cipher_group	proposed_plaintext_unit
1	896	woensdag
2	790	heeft
3	91	den
4	588	heer
5	824	graaf
6	224	van
7	543	os
8	401	ter
9	320	man
10	939	het
11	633	stuk
12	850	overge
13	4	geven
14	852	zijne
15	812	excell
16	326	entie
17	991	ze
18	831	i
19	587	de
20	89	het
21	798	ter
22	422	kennis
23	15	van
24	23	haare
25	68	majesteit
26	325	te
27	25	zullen
28	84	breng
29	14	en
30	132	doch
31	790	niet
32	109	d
33	522	acht
34	203	antwoord
35	667	zo
36	345	sch
37	115	ie
38	650	lijk
39	931	te
40	215	be
41	573	komen
42	166	het
43	318	geen
44	438	mij
45	392	w
46	584	onder
47	176	lijk
48	518	voor
49	91	komt
50	958	is
51	169	het
52	580	mysterie
53	69	maar
54	345	hier
55	161	vaneen
56	215	courier
57	93	welke
58	943	dins
59	438	dag
60	116	n
61	11	agt
62	101	na
63	664	west
64	131	waar
65	991	t
66	72	s
67	68	zou
68	922	zijn
69	266	endat
70	589	al
71	671	hoe
72	395	wel
73	830	deheer
74	796	graaf
75	996	os
76	184	ter
77	880	man
78	285	mij
79	107	ge
80	648	zegt
81	886	heeft
82	912	dat
83	85	niet
84	565	ver
85	529	zond
86	942	en
87	821	was
88	667	even
89	485	wel
90	466	mij
91	597	verzekerd
92	961	wierd
93	186	dat
94	465	op
95	100	dien
96	961	dag
97	503	was
98	37	afge
99	724	gaan
100	209	noch
101	260	ik
102	851	noch
103	595	de
104	731	pruissisch
105	252	e
106	862	min
107	990	is
108	19	tre
109	169	hebben
110	489	niets
111	997	kunnen
112	824	verneemen
113	86	vanhet
114	758	geen
115	812	waarmede
116	98	hij
117	351	zou
118	307	ge
119	174	c
120	640	harg
121	369	eerd
122	293	zijn
123	758	doch
124	560	met
125	320	wat
126	185	of
127	715	hij
128	529	ge
129	743	c
130	106	harg
131	572	eerd
132	200	is
133	279	zo
134	142	geloof
135	763	i
136	254	komt
137	499	rent
138	805	de
139	752	waar
140	351	een
141	813	secr
142	708	ete
143	900	sentiment
144	10	en
145	175	vandithof
146	714	aan
147	25	u
148	15	hooge
149	930	delg
150	192	est
151	242	ren
152	242	ge
153	700	te
154	22	kunnen
155	81	her
156	2	haalen
157	151	den
158	100	inhoud
159	652	van
160	534	mijne
161	317	voorige
162	815	alles
163	517	wat
164	709	men
165	15	voor
166	842	den
167	90	keizer
168	562	zal
169	666	doen
170	223	zal
171	534	best
172	658	aan
173	423	van
174	337	voor
175	22	hem
176	308	inhet
177	963	uit
178	765	er
179	320	lijk
180	524	te
181	776	werk
182	333	en
183	441	uit
184	999	hoop
185	666	e
186	760	van
187	750	daardoor
188	514	pruissen
189	930	eenig
190	182	zint
191	354	ste
192	593	weder
193	186	houden
194	584	en
195	792	heb
196	575	reed
197	501	ente
198	444	denken
199	96	datde
200	116	courier
201	147	na
202	554	holland
203	202	indien
204	579	hij
205	252	afge
206	573	zond
207	971	enis
208	599	voort
209	303	komt
210	237	uiteen
211	730	e
212	140	welke
213	593	onlangs
214	23	uit
215	868	on
216	731	lee
217	238	sbaa
218	730	ris
219	526	aange
220	589	komen
221	613	endat
222	883	men
223	250	er
224	114	mysterie
225	164	van
226	672	maak
227	642	t
228	742	om
229	176	na
230	354	rigt
231	169	en
232	649	die
233	61	het
234	318	effect
235	910	volgens
236	435	haare
237	514	gedachte
238	329	n
239	666	misschien
240	355	te
241	3	veel
242	961	zouden
243	136	gaan
244	185	te
245	320	voorkomen
