6 8^.. 7	687	..
6 3 4	634	
5 2^_ 0^_	520	__
2 3^_ 8	238	_
8 5 8	858	
2 6^_ 8^_	268	__
7 1^_ 5^_	715	__
5 1^_ 4^_	514	__
6 8^.. 5	685	..
8 4^.. 9	849	..
4 7^.. 6	476	..
1 0^_ 8	108	_
2 4 1	241	
2 9 1?	291	
5 2^.. 3	523	..
2 0^_ 0^_	200	__
8?^. 9 2	892	.
6 8^.. 5	685	..
9 7^.. 1	971	..
6 5 6	656	
9 1 5	915	
1 7^. 5^.	175	..
6 9^.. 1	691	..
8 :?	8	
9 1^. 1^.	911	..
5 5^.. 1	551	..
6 5^_ 3	653	_
2 1^_ 4^_	214	__
3 8	38	
7 8^. 1^.	781	..
? 0 3	03	
3 7 5	375	
3 9 3	393	
7 0^_ 9	709	_
7 0^.. 8	708	..
5 4^.. 5	545	..
7 1^_ 9^_	719	__
5 6^_ 2	562	_
5^_ 1^_ 9 :? 8 2 2	519822	__
1 7^.. 5	175	..
3 4^_ 8	348	_
3 0^_ 4^_	304	__
6 5^_ 7^_	657	__
1 2 2	122	
4 3^.. 9	439	..
6 7^.. 9	679	..
5 2 7	527	
4^_ 2^_ 9^_	429	___
9 2 7	927	
9 1 5	915	
7^_ . 2^_ 1^_ 1^_	7211	____
3 7^_ 4^_	374	__
7 7^_ 7^_	777	__
2 8^_ 5^_	285	__
7 7^.. 7	777	..
3 1^. 1^.	311	..
8^. 7^.	87	..
2 2 2	222	
4^. 9^.	49	..
4 7^.. 5	475	..
8 1 3	813	
5 2 7	527	
3 6^_ 6	366	_
7 3^_	73	_
4 3^_ 6	436	_
2 0 4	204	
9 3^.. 1	931	..
2 1 0	210	
3^_ 1^_ 3^_	313	___
6 6^.. 5	665	..
4 9^. 4^.	494	..
2 9^.. 1	291	..
9?_.. 3^.. 1	931	..
2 3^.. 9	239	..
2 2 2	222	
3 8^_ 0	380	_
2 7 1	271	
3 0	30	
5 6 9	569	
6?_. 0 0	600	
1 0^_ 7^_	107	__
4^_ 7^_ 7^_?	477	___
4 7^.. 5	475	..
7 7 2	772	
3^_	3	_
^.. 3 9 0	390	..
6 5^.. 9	659	..
7 3^_ 8	738	_
5 1^.. 0	510	..
8^..	8	..
4 3^.. 9	439	..
6 6^_ 7	667	_
9 4 0	940	
8 5 8	858	
4 0^_ 6	406	_
7 2 7	727	
7^_ 3^_	73	__
6 0^_ 6	606	_
9 3 1	931	
5 5^_ 3	553	_
5 2^.. 0	520	..
6 5^_ 8	658	_
2 3^_ 3	233	_
1 0 7	107	
4^_	4	_
7 4^.. 1	741	..
7 0 9	709	
3 1^_ 3^_	313	__
6 2^_ 3^_ 1 2^.. 6	623126	__..
2 3^.. 9	239	..
1 8 7	187	
8 3^.. 6	836	..
1 8 9	189	
8 7^..	87	..
8 9 2	892	
1 6^_ 7	167	_
3 8^.. 2	382	..
3 0 4	304	
1 5^. 9^.	159	..
7^_ 3^_	73	__
3 8^.. 5	385	..
4 6^_ 0	460	_
7 7^.. 7	777	..
9 7 7	977	
8 0^.. 8	808	..
3 1^_ 3	313	_
1 0^_ 7	107	_
9 7 7	977	
9 2 9	929	
2 1^_ 1^_	211	__
7 0 9	709	
3 4 4	344	
? 0 3	03	
9 8^.. 6	986	..
2 0 2	202	
1	1	
2 3^.. 9	239	..
7^..	7	..
7 3^_ 5^_	735	__
5 2^.. 3	523	..
1 7^. 5^. 1 4 2	175142	..
8 6 7	867	
8^_ 4^_	84	__
8 8 6	886	
2 3^_ 6	236	_
9 7 7	977	
6 1 2	612	
3 7^.. 8	378	..
8 0^_ 9^_	809	__
5 2^_ 5^_	525	__
5 4^.. 1	541	..
2 8 6	286	
2^_ 1^_ 1^_	211	___
3 1^_ 2^_	312	__
9 5 6	956	
5 3^_ 3^_	533	__
7 0 9	709	
1 6	16	
6 9^.. 2	692	..
3 0^_ 6	306	_
7 2 8	728	
3 4^_ 5	345	_
9 3^.. 0	930	..
9 7^. 1^.	971	..
1 9^_	19	_
8 5 8	858	
5 6 1	561	
2 6^_ 8	268	_
2 1^_ 0	210	_
9 7 5	975	
4^_ 5^_ 4	454	__
7 1^_ 5^_	715	__
4 2^_ 9^_	429	__
7 6^_ 5	765	_
9 8^.. 0	980	..
9 7^.. 1	971	..
1 2 4	124	
3 8 7	387	
3 1^_ 3	313	_
2 4^_ 0^_	240	__
6 2^_ 3^_	623	__
2 8 6	286	
1 0^_ 7^_	107	__
8 9	89	
3 1^_ 2^_	312	__
4^..	4	..
8 6^.. 5	865	..
2 7 7	277	
6 1^_ 0^_	610	__
3 5 4	354	
3 0 5	305	
7^_ 3^_ 3 4^.. 5	73345	__..
3 0^_ 3	303	_
5 2^.. 0	520	..
6 5^.. 8	658	..
3 7^_ 2	372	_
2 6 8	268	
1^_ 2^_	12	__
6 1 9	619	
7 7^.. 7	777	..
7 4	74	
8 0^_	80	_
2 1^_ 0^_	210	__
6 0^_ 5^_	605	__
9 2 7	927	
4 3^..	43	..
2 3	23	
1 2^. 0^.	120	..
6^_ 7	67	_
3 6^_ 1	361	_
6^_ 8^_	68	__
2 3^_ 1^_	231	__
