0	865	j'ai	H
1	1028	l	H
2	875	honneur	H
3	1018	de	H
4	569	vous	H
5	609	ad	H
6	487	dresser	H
7	583	la	H
8	941	co	H
9	460	pi	H
10	187	e	M
11	227	d'	M
12	1045	une	?
13	1146	lettre	H
14	197	que	H
15	196	M	H
16	219	de	H
17	583	la	H
18	10	sa	H
19	1028	l	H
20	878	le	H
21	6	m'a	H
22	327	écrite	H
23	219	de	H
24	584	ham	H
25	842	bourg	H
26	37	,	?
27	949	qui	M
28	853	étoit	M
29	912	accompagn	H
30	187	é(e)	M
31	276	d'	M
32	645	une	M
33	1146	lettre	H
34	1138	de	H
35	196	M	H
36	196	M(dup)	?
37	1018	de	H
38	10	sa	H
39	417	l	H
40	588	ti	H
41	1181	k	H
42	423	of	H
43	633	dont	H
44	963	je	H
45	1094	joins	H
46	868	aus	H
47	330	si	H
48	257	ici	H
49	382	la	H
50	848	copie	H
51	196	M	H
52	219	de	H
53	10	sa	H
54	1028	l	H
55	5881181	ti+k	M
56	423	of	H
57	402	a	H
58	327	écrit	H
59	402	à	H
60	196	M	H
61	219	de	H
62	913	go	H
63	1165	lo	H
64	960	f	H
65	1178	ki	H
66	141	n	H
67	1044	qui	H
68	6	m'a	H
69	452	envoyé	H
70	1016	cette	H
71	1146	lettre	H
72	828	ce	H
73	6	ma	H
74	588	ti	H
75	141	n	H
76	13	.	H
77	569	vous	H
78	684	ver	H
79	1144	rez	H
80	196	M	H
81	197	que	H
82	196	M	H
83	219	de	H
84	382	la	H
85	10	sa	H
86	878	lle	H
87	766	croit	H
88	10	sa	H
89	148	jus(t)	M
90	140	i	M
91	986	fi	H
92	729	ca	H
93	1078	tion	H
94	1017	re	M
95	245	m	?
96	696	pli	?
97	358	e	M
98	310	et	H
99	360	je	H
100	8578	le	M
101	887	désire	H
102	888	mais	H
103	196	M	H
104	1018	de	H
105	913	go	H
106	1165	lo	H
107	960	f	H
108	1178	ki	H
109	141	n	H
110	878	le	H
111	986	fi	H
112	1028	l	H
113	250	s	H
114	6	m'a	H
115	743	dit	H
116	631	avoir	H
117	377	parlé	H
118	219	de	H
119	196	M	H
120	219	de	H
121	583	la	H
122	10	sa	H
123	417	l	H
124	628	le	H
125	402	à	H
126	196	M	H
127	219	de	H
128	583	la	H
129	314	u	H
130	577	ren	H
131	784	zi	H
132	1044	qui	H
133	889	lui	H
134	402	a	H
135	743	dit	H
136	572	qu'il	H
137	1124	savoit	H
138	611	bien	H
139	489	qu'il	H
140	179	y	H
141	631	avoit	H
142	470	un	M
143	1045	(un?)	?
144	970	jet	M
145	219	de	H
146	316	propo(sé)	M
147	138	à	H
148	673	yorke	H
149	888	mais	H
150	836	chi	H
151	689	mér	M
152	140	i	M
153	197	que	H
154	310	et	H
155	1024	au	H
156	191	quel	H
157	828	ce	H
158	224	mi	M
159	134	ni	M
160	250	s(tre)	M
161	842	ne	M
162	948	s'étoit	?
163	54	ar(point?)	?
164	1017	re	M
165	856	té	M
166	13	.	H
167	573	quoi	H
168	572	qu'il	H
169	835	en	H
170	30	soit	H
171	360	je	H
172	766	crois	H
173	572	qu'il	H
174	293	n'y	H
175	1024	au	H
176	955	ra	H
177	1011	nul	H
178	1028	l	M
179	605	inconvénient	H
180	402	à	H
181	377	par	H
182	487	ler	H
183	219	de	H
184	196	M	H
185	1018	de	H
186	583	la	H
187	10	sa	H
188	417	l	H
189	878	le	H
190	138	à	H
191	196	M	H
192	1138	de	H
193	10	s	H
194	1083	t	H
195	10	sa	H
196	314	u	H
197	341	ve	H
198	252	ur	H
199	402	à	H
200	1068	son	H
201	943	pas	H
202	10	sa	H
