250	521	du	M	4
251	569	vous	H	4
252	1018	de	H	4
253	663	ve	H	4
254	611	bien	H	4
255	1189	juge	H	4
256	992	r	H	4
257	196	M	H	4
258	31	que	H	4
259	1027	Roi	H	4
260	454	mon	M	4
261	714	Maitre	M	4
262	834	n'	?	4
263	49	a	?	4
264	1164	pre	M	4
265	580	n	H	4
266	779	droit	M	4
267	943	pas	H	4
268	583	la	H	4
269	98	nouvelle	H	4
270	276	d'	H	4
271	645	une	H	4
272	421	demarche	M	4
273	1044	qui	H	4
274	966	pour	H	4
275	1134	roit	H	4
276	844	être	H	4
277	556	contraire	M	4
278	362	à	H	4
279	583	la	H	4
280	809	neutralite	M	4
281	31	que	H	4
282	569	vous	H	4
283	362	a	H	4
284	663	vez	M	4
285	64?	pro	?	4
286	725	mi	H	4
287	1021	se	?	4
288	354	sans	M	4
289	245	m'	H	4
290	189	ordon	H	4
291	992	ner	H	4
292	219	de	H	4
293	569	vous	H	4
294	847	faire	H	4
295	885	des	H	4
296	741	questions	H	4
297	340	très	H	4
298	967	po	H	4
299	1159	si	H	4
300	588	ti	H	4
301	663	ve	H	4
302	899	sur	H	4
303	380	les	H	4
304	230	intentions	M	4
305	1018	de	H	4
306	583	la	H	4
307	171	Republique	H	4
308	516	j'	H	4
309	618	espe	H	4
310	835	re	?	4
311	1124	savoir	H	4
312	481	da	M	4
313	464	vant	M	4
314	1014	age	?	4
315	429	avan	H	4
316	578	t_le	?	4
317	463	bout	M	4
318	219	de	H	4
319	828	ce	H	4
320	727	mois	H	4
321	516	j'	H	4
322	739	au	H	4
323	955	ra	H	4
324	140	i	H	4
325	582	l'	H	4
326	875	honneur	H	4
327	219	de	H	4
328	569	vous	H	4
329	835	en	H	5
330	754	ren	M	5
331	9?9	dre	M	5
332	576	comp	M	5
333	856	te	H	5
334	13	.	H	5
335	105	null	M	5
336	196	M	H	5
337	219	de	H	5
338	907	Ni	M	5
339	797	s	M	5
340	954	pen	M	5
341	580	,	M	5
342	1?44	qui	H	5
343	838	est	H	5
344	650	ve	M	5
345	527	nu	M	5
346	257	ici	H	5
347	835	en	H	5
348	838	est	H	5
349	851	parti	H	5
350	828	ce	H	5
351	6	ma	H	5
352	588	ti	H	5
353	580	,	M	5
354	966	pour	H	5
355	401	executer	M	5
356	828	ce	H	5
357	31	que	H	5
358	196	M	H	5
359	219	de	H	5
360	272	Cre	M	5
361	725	mi	H	5
362	582	l	H	5
363	878	le	H	5
364	889	lui	H	5
365	362	a	H	5
366	189	ordon	H	5
367	1088	il	H	5
368	1127	se	H	5
369	955	ra	H	5
370	768	dans	H	5
371	667	6	M	5
372	94?7	ou	M	5
373	872	7	M	5
374	283	jours	M	5
375	362	à	H	5
376	6	ma	H	5
377	1127	se	H	5
378	516	i	?	5
379	446	k	?	5
380	593	et	H	5
381	23	je	H	5
382	1194	suis	H	5
383	120	certain	M	5
384	572	qu'il	H	5
385	401	executer	M	5
386	955	a	?	5
387	611	bien	H	5
388	758	tout	H	5
389	828	ce	H	5
390	10??	qui	?	5
391	889	lui	H	5
392	838	est	H	5
393	1164?	pre	H	5
394	797	s	H	5
395	1036	cri	M	5
396	787	t	H	5
397	885/8/3?	mais	?	5
398	23	je	H	5
399	6?9?	?	?	5
400	569	vous	H	5
401	495	su	M	5
402	576	p	H	5
403	696	plie	M	5
404	1021	?	?	5
405	219	de	H	5
406	202	vouloir	H	5
407	611	bien	H	5
408	1017	re	H	5
409	1166	presente	M	5
410	992	r	H	5
