# N.73 frequency count. lines=124 tokens=3177 distinct=197
# symbols(uppercase)=1851 codewords(lowercase)=1326

## TOKENS
    3 xed GS
    3 Z N8
    3 GS RS
    3 PHI xad
    3 TH xed
    3 sin xez
    3 O PHI
    3 X zre
    3 ZH RS
    3 Z ynb
    3 ZO sin
    3 pif yem
    3 MH TH
    3 xeb sud
    3 ynb sin
    3 YH Z
    3 SS RS
    3 ZH sin
    3 X YH
    3 pnk sud
    3 sud sod
    3 ZO CT
    3 CT O
    3 X bae
    3 RS X
    3 bos yob
    3 ZH X
    3 O ZO
    3 sin xad
    3 rak PHI
    3 zre yin
    3 FH RH
    3 RH O
    3 KH sin
    3 sin GS
    3 X ZH
    3 zre bae
    3 AH dif
    3 sud bac
    3 teb YH
    3 bac ZO
    3 ZO O
    3 yob CT
    3 bne AH
    3 AH X
    3 ZO RS
    3 OT BO
    3 O KH
    3 RS LAM
    3 bne O
    3 TH xns
    3 PHI xny
    3 xny bel
    3 N8 BO
    3 zre dem
    3 xny PHI
    3 PHI sag
    3 RH KH
    3 sin N8
    3 BO RH
    3 RS TH
    3 rak bne
    3 rak RS
    3 xed sof
    3 YH xnk
    3 seg sin
    3 MH X
    3 MH pif
    3 pif no
