M35-02-0002.jpg	14	15	0.88
M35-02-0003.jpg	137	30	4.42
M35-02-0004.jpg	275	71	3.82
M35-02-0005.jpg	357	99	3.57
M35-02-0006.jpg	889	52	16.77
M35-02-0007.jpg	881	4	176.20
M35-02-0008.jpg	213	145	1.46
M35-02-0009.jpg	186	74	2.48
M35-02-0010.jpg	70	135	0.51
M35-02-0011.jpg	196	25	7.54
M35-02-0012.jpg	514	3	128.50
M35-02-0013.jpg	1378	11	114.83
M35-02-0014.jpg	933	42	21.70
M35-02-0015.jpg	352	49	7.04
M35-02-0016.jpg	220	23	9.17
M35-02-0017.jpg	249	48	5.08
M35-02-0018.jpg	239	41	5.69
M35-02-0019.jpg	48	24	1.92
M35-02-0020.jpg	294	69	4.20
M35-02-0021.jpg	186	129	1.43
M35-02-0022.jpg	297	31	9.28
M35-02-0023.jpg	453	41	10.79
M35-02-0024.jpg	437	53	8.09
M35-02-0025.jpg	709	30	22.87
M35-02-0026.jpg	293	220	1.33
M35-02-0027.jpg	99	60	1.62
M35-02-0028.jpg	290	1	145.00
M35-02-0029.jpg	414	29	13.80
M35-02-0030.jpg	90	164	0.55
M35-02-0031.jpg	299	187	1.59
M35-02-0032.jpg	756	206	3.65
M35-02-0033.jpg	497	19	24.85
M35-02-0034.jpg	936	10	85.09
M35-02-0035.jpg	155	93	1.65
M35-02-0036.jpg	208	92	2.24
M35-02-0037.jpg	164	162	1.01
M35-02-0038.jpg	249	136	1.82
M35-02-0039.jpg	273	93	2.90
M35-02-0040.jpg	147	63	2.30
M35-02-0041.jpg	117	133	0.87
M35-02-0042.jpg	164	163	1.00
M35-02-0043.jpg	641	3	160.25
M35-02-0044.jpg	470	4	94.00
M35-02-0045.jpg	258	96	2.66
M35-02-0046.jpg	513	36	13.86
M35-02-0047.jpg	527	38	13.51
M35-02-0048.jpg	598	9	59.80
M35-02-0049.jpg	80	51	1.54
M35-02-0050.jpg	266	65	4.03
M35-02-0051.jpg	629	14	41.93
M35-02-0052.jpg	262	58	4.44
M35-02-0053.jpg	367	142	2.57
M35-02-0054.jpg	482	74	6.43
M35-02-0055.jpg	125	48	2.55
M35-02-0056.jpg	268	3	67.00
M35-02-0057.jpg	195	8	21.67
M35-02-0058.jpg	148	12	11.38
M35-02-0059.jpg	301	4	60.20
M35-02-0060.jpg	149	78	1.89
M35-02-0061.jpg	317	13	22.64
M35-02-0062.jpg	571	38	14.64
M35-02-0063.jpg	86	214	0.40
M35-02-0064.jpg	241	29	8.03
M35-02-0065.jpg	640	1	320.00
M35-02-0066.jpg	1140	1	570.00
M35-02-0067.jpg	431	2	143.67
M35-02-0068.jpg	867	31	27.09
M35-02-0069.jpg	801	21	36.41
M35-02-0070.jpg	847	16	49.82
M35-02-0071.jpg	843	9	84.30
M35-02-0072.jpg	591	25	22.73
M35-02-0073.jpg	355	4	71.00
M35-02-0074.jpg	801	3	200.25
M35-02-0075.jpg	466	10	42.36
M35-02-0076.jpg	639	16	37.59
M35-02-0077.jpg	184	148	1.23
M35-02-0078.jpg	264	50	5.18
M35-02-0079.jpg	777	1	388.50
M35-02-0080.jpg	716	4	143.20
M35-02-0081.jpg	545	9	54.50
M35-02-0082.jpg	407	11	33.92
M35-02-0083.jpg	511	11	42.58
M35-02-0084.jpg	558	4	111.60
M35-02-0085.jpg	609	5	101.50
M35-02-0086.jpg	717	3	179.25
M35-02-0087.jpg	728	5	121.33
M35-02-0088.jpg	611	2	203.67
M35-02-0089.jpg	599	1	299.50
M35-02-0090.jpg	623	2	207.67
M35-02-0091.jpg	853	1	426.50
M35-02-0092.jpg	746	1	373.00
M35-02-0093.jpg	635	1	317.50
M35-02-0094.jpg	159	117	1.35
M35-02-0095.jpg	555	17	30.83
M35-02-0096.jpg	882	1	441.00
M35-02-0097.jpg	512	38	13.13
M35-02-0098.jpg	927	23	38.62
M35-02-0099.jpg	670	2	223.33
M35-02-0100.jpg	989	3	247.25
M35-02-0101.jpg	274	41	6.52
M35-02-0102.jpg	414	89	4.60
M35-02-0103.jpg	134	107	1.24
M35-02-0104.jpg	97	78	1.23
M35-02-0105.jpg	843	1	421.50
M35-02-0106.jpg	869	1	434.50
M35-02-0107.jpg	408	26	15.11
M35-02-0108.jpg	244	68	3.54
M35-02-0109.jpg	950	3	237.50
M35-02-0110.jpg	301	116	2.57
M35-02-0111.jpg	379	50	7.43
M35-02-0112.jpg	885	1	442.50
M35-02-0113.jpg	286	77	3.67
M35-02-0114.jpg	602	35	16.72
M35-02-0115.jpg	450	14	30.00
M35-02-0116.jpg	461	1	230.50
M35-02-0117.jpg	930	2	310.00
M35-02-0118.jpg	1435	2	478.33
M35-02-0119.jpg	314	70	4.42
M35-02-0120.jpg	851	1	425.50
M35-02-0121.jpg	594	16	34.94
M35-02-0122.jpg	678	6	96.86
M35-02-0123.jpg	661	3	165.25
M35-02-0124.jpg	559	12	43.00
M35-02-0125.jpg	573	6	81.86
M35-02-0126.jpg	611	28	21.07
M35-02-0127.jpg	578	19	28.90
M35-02-0128.jpg	811	1	405.50
M35-02-0129.jpg	248	169	1.46
M35-02-0130.jpg	943	12	72.54
