rec	status	y	m	d	pp	imgs	author	holder	inlineclear
9670	Non-decrypted	1523	5	End Year	10	5	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/28, f. 18–24.	Yes
9671	Non-decrypted	Start Month	5	End Year	8	4	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/28, f. 40–43.	Yes
9672	Non-decrypted	Start Month	5	End Year	4	2	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/28, f. 78–79.	Yes
9674	Non-decrypted	Start Month	Start Day	End Year	4	2	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/28, f. 81–82.	Yes
9677	Non-decrypted	1523	Start Day	End Year	10	5	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/28, f. 148–152.	Yes
9689	Non-decrypted	1523	6	End Year	6	3	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/28, f. 224–226.	Yes
9690	Non-decrypted	1523	6	End Year	6	3	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/28, f. 226–228.	Yes
9767	Non-decrypted	1523	8	End Year	4	2	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/28, f. 563–564.	Yes
9769	Non-decrypted	1523	8	End Year	6	3	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/28, f. 569–571.	Yes
9770	Non-decrypted	1523	8	End Year	6	3	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/28, f. 572–574.	Yes
