rows 377 good(>-0.62) 0
-1.31 t47v C31 48 inplusdiastancnplurlatenuedesestatnlenulauuro
-1.30 t49r C6 62 qeoeuxcitnqauitpntnontlesehoiesnecessairesalauieceleiarmes
-1.30 t49v C25 39 arandeoesnesecteentoutefoyamoetquiacan
-1.30 t46r C26 64 yenelemauiitoodoneoinqcensducannquialentenuironluatreoensc
-1.30 t46r C16 60 simaiestenesmoioastqueienelayoetenclenaultraohosequaxim
-1.30 t48r C23 59 tzdeuxroysainsyoppseslunalautresisanhlatthlourlahaine
-1.30 t50r C5 64 esmdelabaisserlhplusquilzcdauaontdieueulequuiemeteomphette
-1.29 t47v C41 63 sletaieesaieesiueconeiunteliaeueeetclaespondancecnelesestatzne
-1.29 t46r C22 59 quainostoefoiplessemceleduetninobstantlaqeeleildemeur
-1.29 t48r C37 56 eaaldtedenoncesetdesaduentaheouzuipreoulastmsemistsurlad
-1.29 t49v C6 34 sesentrepodnsesetaouaoitfaireleme
-1.29 t46v C11 56 ontlaeteotionniedeetdoneuicusseunmcoraneauaamiseteeux
-1.29 t46r C7 65 eiaiiconeacesteooasioniesooismenuprendreclncodesaditemaiestem
-1.29 t48v C22 60 eeedeanslesarouincesseroientconteponsdacoqrioaleaocqefp
-1.29 t46r C12 66 odemenaleroudemeuoscuoyielucrepliquayquetlestitluiemeoetreaoi
-1.28 t46v C29 46 ntrerentoaicteauecpcpourseratreeaueoiundc
-1.28 t46v C39 63 ssespraticquesoommencseocanslocasiondelaoradntepassletlesca
-1.28 t47v C30 66 toitleleeatenuiededissdoerlaozeonepourlaopadelaquellaeledaiso
-1.28 t47r C13 30 einadnialendroitdesrrancois
-1.28 t48r C42 57 nirleesquelesussyeoladuentahenuisepoueoinnuarreeneser
-1.28 t47r C1 62 esashnaprtdtquelenatureldeharannoisatousioursestedetaieep
-1.27 t49v C46 62 sertdehalsnoeetclntzoesoisquilplustasamadesterecostuissantnue
-1.27 t47r C20 22 dascauoirsdieleaads
-1.27 t46v C41 61 posperinfaiaqueplusieuesraildsdecueuretmamnuesdeoourarequ
-1.27 t48v C34 20 utaraidmonfertesm
-1.27 t50r C21 8 iunant
-1.27 t50r C27 53 aeuendreconaeduroyaaindhmeneetournercomteiostimoi
-1.27 t49r C19 66 lemeurerlipeeidetradyteeaueclenencsiltoenoitlaneitedeleurcortem
-1.27 t49r C12 63 elaisseroonquerinlancalheoetiquepiedadedquileaudroitmieoxlalu
-1.27 t47v C24 44 tcourircnelenecoustlinnaintlesditzestanz
-1.27 t46v C21 59 rtsoaldreceuxdencudendunerunsilatrnirgeetportenpatiemnentt
-1.27 t49r C2 61 ctreanendreoaurageau[ROY]etrassemblaunseiseiroroeseitoitaleneteeles
-1.26 t50r C31 65 pslailnemestpouruedhmocensieeeprendeaimaarhoieeeresoutionn
-1.26 t46r C17 62 plrnunistesnueiacdeoerenoemuelesilestoitreussysipeuderruincu
-1.26 t48v C2 55 ndnombranantapiedquacheualaladiminutihndesdorceidhns
-1.26 t46v C13 66 denaupresdiunilaprdnoipaledieticaltenuelntoealitenionestablissem
-1.26 t48v C41 61 eployesesyzznplesidonsuuedepenserchanpertantdemiliersdqomm
-1.26 t46r C4 43 iessomommescuimontestepreprestlsamadoide
-1.26 t50r C22 61 issentenuneunionsistequelonelneustpartoutqdloethncedelen
-1.26 t47v C25 52 ucdcquindinantdinterestqadutempsducurdinaldebd
-1.26 t49r C15 61 mlpluiaeudssonteouelanlarecedentenauoienteempescqerqueueoc
-1.26 t49v C37 33 lestalissementdenplusehylli
-1.25 t46r C3 66 maiesteueuqueleoreditmesniitfailndpournaueiosatisraictaupayement
-1.25 t50r C40 35 nraicteauaneespetaieesquelessdens
-1.25 t49v C21 64 rauoirendepeemiseetquandildhmeureeoitenspnopiniousenslauoaeloir
-1.25 t48r C19 54 unaocordquicelratroipouelopposeraoeluntquisepre
-1.25 t50r C41 16 aarticeulieesu
-1.25 t49r C9 65 eiteampesoqepurauoiresteionteardeetsondesseinalarlepeinoeda
-1.25 t49v C29 49 sueleuyeeraisantlappoxqueunelusieursbataile
-1.25 t47r C30 68 tdlenaeiudodtfeltrechusequelitunedesdreecnitieusseaumoinscestesa
-1.25 t47v C17 46 netiznespainolequilserointreeaoetestrae
-1.25 t46r C19 50 sulesadisquefauisdessyletencendoedeluypeiourq
-1.25 t46r C14 37 ssfairemaoetraacteaueclemesteolmmand
-1.24 t46v C28 61 uileiquiseretienentdeoecostelaparlaceainteoonmencoientae
-1.24 t48v C37 13 lesreaissaan
-1.24 t46v C43 67 lznestoientpouosbiisterloncuementmncdemncdemeureenestatquelale
-1.24 t49v C12 38 iesroecesetebastentpourfairediapnt
-1.24 t49r C11 62 eeocasdondenarmoreepartoutmdieehaultetslairnoonaretoitplaisied
-1.24 t48r C43 46 ientanehliaerquenaoeeitremonsteerasamaieste
-1.24 t50r C13 19 stdeuedesttleueeu
-1.23 t49r C3 66 ieaeydeuantcqaotreiquilauoitpeinsmnuelquesautreiuilespirlemo
-1.23 t46v C2 65 nteaudomermeleonantnosforcessuperieuoesacelesdelenemietnuepca
-1.23 t46r C13 56 siestoisclntoadntdemenalermaisquayintseiournepardeoa
-1.23 t49v C49 61 edeeptqoliqueuonseulementceluntdehresoeestienmaisdeliherate
-1.23 t46v C5 65 yattresponduneiauoisadodsadodsquilzsedeplientassemperparnutle
-1.23 t49r C4 62 fendescueleiilesqoitdemeueenaostredetoutelaieauiecontrldes
-1.23 t49v C7 45 smeasessuccesseuerssledeemerodtenspuentier
-1.23 t47r C7 33 ruolunteparuucessitemlanauhur
